,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Bilaspur,1,0,3,,152,1568,0,58,19.0,0.0,40.0,0.0,1075.0,19733.0,0,382056,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,14567,85,14455,,326816,315608,0,1,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
1,1,1,1,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Chamba,3,0,0,,288,3646,0,11,12.0,0.0,4.0,0.0,2345.0,31360.0,0,518844,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,13725,160,13549,,373086,333565,0,2,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
2,2,2,2,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Hamirpur,14,0,6,,198,1823,0,146,75.0,2.0,138.0,0.0,2566.0,24106.0,0,454293,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,17913,302,17496,,382421,349616,0,1,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
3,3,3,3,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Kangra,25,0,17,,790,12779,0,326,174.0,6.0,225.0,0.0,5496.0,112757.0,0,1507223,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,51879,1172,50434,,1200455,1069905,0,5,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
4,4,4,4,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Kinnaur,0,0,1,,0,0,0,4,2.0,0.0,2.0,0.0,77.0,577.0,0,84298,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,3526,39,3482,,79913,65832,0,0,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
5,5,5,5,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Kullu,0,0,0,,467,3886,0,15,4.0,0.0,7.0,0.0,3266.0,29136.0,0,437474,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,9736,158,9570,,360368,301834,0,2,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
6,6,6,6,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Lahaul and Spiti,0,0,0,,1,115,0,1,0.0,0.0,2.0,0.0,83.0,626.0,0,31528,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,2960,18,2942,,32140,22603,0,0,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
7,7,7,7,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Mandi,20,0,4,,728,7495,0,80,47.0,1.0,40.0,0.0,6105.0,62598.0,0,999518,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,31883,461,31359,,790220,709579,0,0,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
8,8,8,8,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Shimla,20,0,3,,740,4837,0,63,152.0,1.0,51.0,0.0,5150.0,41135.0,0,813384,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,27889,648,27056,,693730,598967,0,4,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
9,9,9,9,2021-11-29,HP,90,0,61,0,4676,47899,0,858,588.0,13.0,626.0,0,36557.0,447091.0,0.0,Sirmaur,0,0,0,,513,3994,0,1,1.0,0.0,1.0,0.0,3806.0,42902.0,0,530164,2021-11-29 19:00:00+05:30,https://twitter.com/nhm_hp,,15465,211,15250,,436518,391753,0,0,2021-11-29 23:20:44,7300000,2021-11-29 23:20:44,https://twitter.com/nhm_hp,,227093,3830,222422,,5820639,5119422,0,17,0.0,0.0
