Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-11-30,KL,Ernakulam,,,,628388,4876,612352,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Thiruvananthapuram,,,,489119,5595,477550,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Pathanamthitta,,,,201272,1572,195363,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Palakkad,,,,381076,3233,373758,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Idukki,,,,154997,740,150484,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Kozhikode,,,,547131,4077,539966,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Wayanad,,,,132398,615,128810,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Kasaragod,,,,141834,776,138202,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Kottayam,,,,336129,1914,331533,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Kannur,,,,285790,2913,280842,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Thrissur,,,,541500,4556,535224,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Kollam,,,,405502,3712,401103,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Malappuram,,,,574499,2998,571302,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
2021-11-30,KL,Alappuzha,,,,322258,2564,320940,,2021-12-01 11:31:57.195322,2021-12-01 11:31:57.196157,,,5141893,40141,5057429,39728732
