Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-12-02,AR,Anjaw,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1068,3,1065,21010,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Changlang,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3809,22,3787,79493,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,East Kameng,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,1094,0,1094,52766,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,East Siang,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,3221,17,3204,61634,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Kamle,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,512,0,512,6582,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Kra Daadi,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,270,0,270,6066,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Kurung Kumey,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,511,1,510,9174,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Lepa Rada,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,876,3,873,16771,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Lohit,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,2888,26,2862,49250,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
2021-12-02,AR,Longding,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,752,2,750,19907,2021-12-02 23:55:29,2021-12-02 20:00:00+05:30,https://twitter.com/DirHealth_ArPr,,55285,280,54969,1187099
