,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Aizawl,,,,,215,639,0,,,,,1401.0,5205.0,404054,,,,,,,,318756,259273,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
1,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Champhai,,,,,45,102,0,,,,,415.0,532.0,125370,,,,,,,,75253,59818,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
2,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Hnahthial,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
3,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Khawzawl,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
4,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Kolasib,,,,,52,604,0,,,,,144.0,906.0,83054,,,,,,,,51406,37360,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
5,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Lawngtlai,,,,,36,70,0,,,,,1971.0,1088.0,117444,,,,,,,,68448,33098,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
6,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Lunglei,,,,,8,35,0,,,,,1236.0,1033.0,154094,,,,,,,,97165,78567,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
7,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Mamit,,,,,39,215,0,,,,,1235.0,2109.0,85757,,,,,,,,45922,33811,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
8,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Saiha,,,,,19,223,0,,,,,538.0,1115.0,56366,,,,,,,,35574,23688,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
9,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Saitual,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
10,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Serchhip,,,,,65,8,0,,,,,285.0,374.0,64875,,,,,,,,42397,37736,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
11,2021-12-02,MZ,315,2,368,0,479,1896,0,2203.0,16.0,2808.0,,7225.0,12362.0,Unknown,315.0,2.0,368.0,,0,0,0,2203.0,16.0,2808.0,,0.0,0.0,0,,,,135765.0,503.0,131545.0,,0,0,2021-12-03 10:36:52.365906,1192000,,,,135765,503,131545,,734921,563351
