,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-02,KA,Bagalkote,,,,35184,333,34845,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
1,2021-12-02,KA,Ballari,,,,97798,1686,96004,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
2,2021-12-02,KA,Belagavi,,,,79994,944,78978,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
3,2021-12-02,KA,Bengaluru Rural,,,,62098,890,61171,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
4,2021-12-02,KA,Bengaluru Urban,,,,1256823,16340,1235458,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
5,2021-12-02,KA,Bidar,,,,24348,402,23940,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
6,2021-12-02,KA,Chamarajanagara,,,,33084,503,32524,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
7,2021-12-02,KA,Chikkaballapura,,,,43975,431,43537,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
8,2021-12-02,KA,Chikkamagaluru,,,,51216,396,50781,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
9,2021-12-02,KA,Chitradurga,,,,36733,209,36481,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
10,2021-12-02,KA,Dakshina Kannada,,,,115914,1687,114079,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
11,2021-12-02,KA,Davanagere,,,,51009,608,50386,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
12,2021-12-02,KA,Dharwad,,,,61326,1322,59704,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
13,2021-12-02,KA,Gadag,,,,26073,319,25749,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
14,2021-12-02,KA,Hassan,,,,112076,1259,110728,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
15,2021-12-02,KA,Haveri,,,,21950,643,21305,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
16,2021-12-02,KA,Kalaburagi,,,,61954,822,61124,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
17,2021-12-02,KA,Kodagu,,,,37269,331,36858,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
18,2021-12-02,KA,Kolar,,,,47023,640,46359,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
19,2021-12-02,KA,Koppal,,,,35207,527,34662,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
20,2021-12-02,KA,Mandya,,,,73859,654,73180,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
21,2021-12-02,KA,Mysuru,,,,179837,2422,177134,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
22,2021-12-02,KA,Other State,,,,36,3,33,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
23,2021-12-02,KA,Raichur,,,,39981,333,39647,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
24,2021-12-02,KA,Ramanagara,,,,24215,323,23888,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
25,2021-12-02,KA,Shivamogga,,,,69563,1090,68363,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
26,2021-12-02,KA,Tumakuru,,,,121107,1137,119845,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
27,2021-12-02,KA,Udupi,,,,76919,488,76354,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
28,2021-12-02,KA,Uttara Kannada,,,,56436,773,55607,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
29,2021-12-02,KA,Vijayapura,,,,36278,495,35781,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
30,2021-12-02,KA,Yadgir,,,,27548,206,27340,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
31,2021-12-02,KA,Unknown,,,,0,0,0,,2021-12-03 10:36:52.365906,,,,2996833,38216,2951845,
