Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Ahmednagar,74,1,15,,14221,29544,0,882.0,13.0,1167.0,,82503.0,149901.0,4543083,,,,342342,7130,334697,,2677489,1234139,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Akola,2,0,2,,8057,5009,0,4.0,0.0,5.0,,84381.0,40463.0,1818617,,,,58794,1426,57352,,1051088,486912,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Amravati,0,0,1,,11597,8941,0,42.0,3.0,45.0,,139045.0,63760.0,2887826,,,,96271,1598,94663,,1744570,791208,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Aurangabad,9,3,12,,14769,14179,0,300.0,9.0,329.0,,183502.0,120662.0,3695928,,,,155881,4263,151521,,2517167,1132968,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Beed,13,1,18,,14150,16227,0,41.0,4.0,20.0,,108052.0,82732.0,2585962,,,,104025,2831,101123,,1469367,730399,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Bhandara,0,0,0,,1577,8136,0,-96.0,0.0,-94.0,,10298.0,50816.0,1198810,,,,59992,1123,58858,,849960,566816,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Buldhana,3,1,0,,7457,7729,0,16.0,2.0,18.0,,73289.0,63265.0,2588039,,,,85607,804,84788,,1580454,770587,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Chandrapur,0,0,1,,5479,17417,0,34.0,0.0,33.0,,34812.0,85802.0,2194262,,,,89015,1564,87430,,1446301,686052,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Dhule,0,0,0,,6061,6451,0,-28.0,1.0,-25.0,,54019.0,54952.0,2048781,,,,46158,655,45490,,1228057,697017,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Gadchiroli,1,0,0,,3898,6776,0,0.0,0.0,2.0,,16098.0,34765.0,1071795,,,,30455,669,29750,,585175,306187,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Gondia,0,0,0,,1350,4949,0,-10.0,0.0,-17.0,,9210.0,34933.0,1322331,,,,40512,569,39928,,921046,590092,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Hingoli,1,0,0,,4570,3837,0,0.0,0.0,7.0,,35484.0,30055.0,1178973,,,,18481,507,17966,,685661,304684,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
2021-12-04,MH,782,14,770,123492,378688,645020,0,4459.0,255.0,5306.0,706334.0,2724087.0,3852197.0,Jalgaon,3,0,3,,21796,32725,0,-95.0,0.0,-97.0,,130282.0,184819.0,4224442,,,,139879,2714,137124,,2442919,1099178,2021-12-05 11:55:05.215686,122153000,2021-12-05 11:55:05.216475,,,6638071,141163,6486105,65963184,75812508,42452315
