,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2021-12-04,UT,Almora,,,616 cases were recorded as Migrated / Others,12223,196,11404,243063.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,616,6169
1,2021-12-04,UT,Bageshwar,,,25 cases were recorded as Migrated / Others,5765,60,5679,209050.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,25,6169
2,2021-12-04,UT,Chamoli,,,207 cases were recorded as Migrated / Others,12247,62,11977,294970.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,207,6169
3,2021-12-04,UT,Champawat,,,189 cases were recorded as Migrated / Others,7608,53,7363,242770.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,189,6169
4,2021-12-04,UT,Dehradun,,,603 cases were recorded as Migrated / Others,112566,3524,108391,1984767.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,603,6169
5,2021-12-04,UT,Haridwar,,,1386 cases were recorded as Migrated / Others,51554,1022,49122,2139214.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,1386,6169
6,2021-12-04,UT,Nainital,,,134 cases were recorded as Migrated / Others,39306,946,38172,578282.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,134,6169
7,2021-12-04,UT,Pauri Garhwal,,,701 cases were recorded as Migrated / Others,17722,315,16678,400340.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,701,6169
8,2021-12-04,UT,Pithoragarh,,,108 cases were recorded as Migrated / Others,10267,182,9975,223358.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,108,6169
9,2021-12-04,UT,Rudraprayag,,,159 cases were recorded as Migrated / Others,8801,106,8536,198791.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,159,6169
10,2021-12-04,UT,Tehri Garhwal,,,899 cases were recorded as Migrated / Others,15840,110,14829,311361.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,899,6169
11,2021-12-04,UT,Uttarkashi,,,343 cases were recorded as Migrated / Others,12560,74,12142,346241.0,2022-01-22T02:34:37.705264+05:30,,,6169 cases were recorded as Migrated / Others,344345,7411,330592,8107513,343,6169
