,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
1,2021-12-04,WB,Alipurduar,,,,15730,102,15582,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
2,2021-12-04,WB,Cooch Behar,,,,29684,98,29453,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
3,2021-12-04,WB,Darjeeling,,,,58016,549,57205,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
4,2021-12-04,WB,Kalimpong,,,,7139,54,7055,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
5,2021-12-04,WB,Jalpaiguri,,,,42471,590,41714,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
6,2021-12-04,WB,Uttar Dinajpur,,,,20078,240,19783,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
7,2021-12-04,WB,Dakshin Dinajpur,,,,18553,175,18198,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
8,2021-12-04,WB,Malda,,,,33751,188,33451,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
9,2021-12-04,WB,Murshidabad,,,,34170,330,33779,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
10,2021-12-04,WB,Nadia,,,,74355,887,73189,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
11,2021-12-04,WB,Birbhum,,,,41698,289,41235,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
12,2021-12-04,WB,Purulia,,,,19485,114,19347,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
13,2021-12-04,WB,Bankura,,,,36842,276,36435,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
14,2021-12-04,WB,Jhargram,,,,12300,27,12231,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
15,2021-12-04,WB,Paschim Medinipur,,,,54124,510,53462,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
16,2021-12-04,WB,Purba Medinipur,,,,63425,401,62921,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
17,2021-12-04,WB,Purba Bardhaman,,,,42614,206,42242,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
18,2021-12-04,WB,Paschim Bardhaman,,,,58512,360,57907,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
19,2021-12-04,WB,Howrah,,,,100722,1537,98625,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
20,2021-12-04,WB,Hooghly,,,,88346,1015,86721,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
21,2021-12-04,WB,North 24 Parganas,,,,333863,4946,327536,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
22,2021-12-04,WB,South 24 Parganas,,,,103096,1382,101085,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
23,2021-12-04,WB,Kolkata,,,,329597,5255,322228,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
24,2021-12-04,WB,Other State,,,,66,3,63,,2021-12-04T23:56:05.726536+05:30,,,,1618637,19534,1591447,20474380
