,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-06,WB,Alipurduar,,,,15736,102,15589,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
1,2021-12-06,WB,Bankura,,,,36855,276,36455,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
2,2021-12-06,WB,Birbhum,,,,41728,289,41261,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
3,2021-12-06,WB,Cooch Behar,,,,29707,98,29473,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
4,2021-12-06,WB,Dakshin Dinajpur,,,,18581,175,18225,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
5,2021-12-06,WB,Darjeeling,,,,58045,549,57243,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
6,2021-12-06,WB,Hooghly,,,,88430,1019,86811,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
7,2021-12-06,WB,Howrah,,,,100780,1539,98707,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
8,2021-12-06,WB,Jalpaiguri,,,,42490,590,41739,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
9,2021-12-06,WB,Jhargram,,,,12302,27,12237,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
10,2021-12-06,WB,Kalimpong,,,,7141,54,7059,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
11,2021-12-06,WB,Kolkata,,,,329928,5260,322540,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
12,2021-12-06,WB,Malda,,,,33779,188,33469,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
13,2021-12-06,WB,Murshidabad,,,,34181,330,33788,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
14,2021-12-06,WB,Nadia,,,,74409,887,73231,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
15,2021-12-06,WB,North 24 Parganas,,,,334055,4952,327739,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
16,2021-12-06,WB,Other State,,,,66,3,63,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
17,2021-12-06,WB,Paschim Bardhaman,,,,58545,360,57943,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
18,2021-12-06,WB,Paschim Medinipur,,,,54148,510,53484,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
19,2021-12-06,WB,Purba Bardhaman,,,,42625,206,42266,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
20,2021-12-06,WB,Purba Medinipur,,,,63442,401,62936,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
21,2021-12-06,WB,Purulia,,,,19487,114,19351,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
22,2021-12-06,WB,South 24 Parganas,,,,103177,1384,101178,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
23,2021-12-06,WB,Uttar Dinajpur,,,,20085,240,19792,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
24,2021-12-06,WB,Unknown,,,,0,0,0,,2021-12-07 11:03:56.446073,,,,1619722,19553,1592579,
