Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Bokaro,,,,,2217,7970,0,,,,,15331.0,46378.0,2061918,,,,,,,,1085586,514727,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Chatra,,,,,2248,4023,0,,,,,11866.0,25909.0,1042304,,,,,,,,485510,198971,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Deoghar,,,,,4460,4281,0,,,,,34623.0,30866.0,1491879,,,,,,,,777569,419064,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Dhanbad,,,,,3790,7836,0,,,,,23431.0,47480.0,2682662,,,,,,,,1304274,625677,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Dumka,,,,,1962,4945,0,,,,,13058.0,33071.0,1321096,,,,,,,,718827,380490,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,East Singhbhum,,,,,1833,10628,0,,,,,9517.0,55528.0,2291032,,,,,,,,1464562,865205,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Garhwa,,,,,2725,3352,0,,,,,16477.0,19055.0,1322387,,,,,,,,612932,290995,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Giridih,,,,,3485,8164,0,,,,,23490.0,51796.0,2445203,,,,,,,,1137720,529199,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Godda,,,,,2018,3473,0,,,,,14190.0,20996.0,1311382,,,,,,,,662694,349956,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
2021-12-07,JH,15,0,10,0,66735,118084,0,123.0,1.0,84.0,,400243.0,708296.0,Gumla,,,,,5738,4811,0,,,,,23085.0,23184.0,1025656,,,,,,,,443659,230147,2021-12-08 11:56:14.911084,37403000,,,,349367,5141,344090,,16996229,8586094
