,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Adilabad,,,,,7932,2940,,,,,,53739.0,14600.0,708952,,,,,,,,479167,137031,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
1,1,1,1,1,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Bhadradri Kothagudem,,,,,2099,3114,,,,,,12313.0,19320.0,1304811,,,,,,,,718998,318183,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
2,2,2,2,2,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Foreign Evacuees,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
3,3,3,3,3,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Hyderabad,,,,,9011,12472,,,,,,60916.0,93063.0,3441992,,,,,,,,3379136,2360353,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
4,4,4,4,4,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Jagtial,,,,,598,426,,,,,,11830.0,23096.0,983414,,,,,,,,639375,293829,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
5,5,5,5,5,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Jangaon,,,,,274,3487,,,,,,1806.0,15995.0,582457,,,,,,,,391037,178792,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
6,6,6,6,6,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Jayashankar Bhupalapally,,,,,1166,1797,,,,,,4501.0,9907.0,712257,,,,,,,,300118,163347,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
7,7,7,7,7,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Jogulamba Gadwal,,,,,15134,1107,,,,,,53964.0,5342.0,664971,,,,,,,,426845,90042,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
8,8,8,8,8,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Kamareddy,,,,,1111,4278,,,,,,7333.0,31698.0,972625,,,,,,,,590270,294964,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
9,9,9,9,9,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Karimnagar,,,,,1904,3820,,,,,,16439.0,30590.0,1016063,,,,,,,,778635,597861,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
10,10,10,10,10,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Khammam,,,,,3036,10723,,,,,,28614.0,52394.0,1401639,,,,,,,,1037322,607793,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
11,11,11,11,11,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Komaram Bheem,,,,,2652,505,,,,,,12050.0,3711.0,515835,,,,,,,,310220,64418,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
12,12,12,12,12,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Mahabubabad,,,,,3356,3869,,,,,,24317.0,32004.0,1318110,,,,,,,,541867,296841,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
13,13,13,13,13,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Mahabubnagar,,,,,23708,3936,,,,,,90524.0,22359.0,0,,,,,,,,638713,218979,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
14,14,14,14,14,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Mancherial,,,,,2344,5763,,,,,,10886.0,20836.0,807037,,,,,,,,521746,230157,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
15,15,15,15,15,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Medak,,,,,971,2599,,,,,,8632.0,16667.0,767428,,,,,,,,552836,246207,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
16,16,16,16,16,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Medchal Malkajgiri,,,,,5624,9240,,,,,,47523.0,84990.0,2542203,,,,,,,,2310398,1651361,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
17,17,17,17,17,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Mulugu,,,,,109,733,,,,,,597.0,4236.0,294671,,,,,,,,200909,103182,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
18,18,18,18,18,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Nagarkurnool,,,,,3615,932,,,,,,24469.0,5949.0,893308,,,,,,,,580786,172368,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
19,19,19,19,19,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Nalgonda,,,,,1787,2545,,,,,,10549.0,20595.0,1631399,,,,,,,,1098191,414466,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
20,20,20,20,20,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Narayanpet,,,,,645,1856,,,,,,68725.0,22487.0,566874,,,,,,,,405430,104200,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
21,21,21,21,21,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Nirmal,,,,,10741,1950,,,,,,83956.0,10047.0,709415,,,,,,,,516649,186626,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
22,22,22,22,22,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Nizamabad,,,,,4632,11381,,,,,,25081.0,61643.0,1534428,,,,,,,,988579,446827,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
23,23,23,23,23,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Other State,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
24,24,24,24,24,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Peddapalli,,,,,4886,4601,,,,,,23236.0,20933.0,795332,,,,,,,,547700,285670,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
25,25,25,25,25,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Rajanna Sircilla,,,,,839,5613,,,,,,6015.0,33947.0,546121,,,,,,,,397265,222876,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
26,26,26,26,26,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Ranga Reddy,,,,,7215,8887,,,,,,52643.0,77115.0,2551731,,,,,,,,2547406,1669901,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
27,27,27,27,27,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Sangareddy,,,,,24241,4606,,,,,,84361.0,55733.0,1527628,,,,,,,,1006259,511841,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
28,28,28,28,28,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Siddipet,,,,,3150,1944,,,,,,24159.0,15905.0,993376,,,,,,,,664120,349575,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
29,29,29,29,29,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Suryapet,,,,,3935,10764,,,,,,16476.0,36834.0,1099560,,,,,,,,672326,328635,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
30,30,30,30,30,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Unknown,205.0,1.0,185.0,,0,0,964.0,1359.0,9.0,1109.0,,0.0,0.0,0,,,,677546.0,4002.0,669673.0,,0,0,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
31,31,31,31,31,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Vikarabad,,,,,3796,6636,,,,,,22267.0,15210.0,881250,,,,,,,,606739,144710,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
32,32,32,32,32,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Wanaparthy,,,,,2737,1095,,,,,,53314.0,4119.0,751553,,,,,,,,421687,113941,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
33,33,33,33,33,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Warangal Rural,,,,,8456,2931,,,,,,60451.0,22101.0,716457,,,,,,,,462800,179341,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
34,34,34,34,34,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Warangal Urban,,,,,2259,4957,,,,,,15466.0,32247.0,1135707,,,,,,,,833450,587470,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
35,35,35,35,35,2021-12-08,TG,205,1,185,0,165092,143848,964,1359.0,9.0,1109.0,,1023092.0,926964.0,Yadadri Bhuvanagiri,,,,,1129,2341,,,,,,5940.0,11291.0,726465,,,,,,,,511351,316574,2021-12-09 10:46:46.754772,37220000,,,,677546,4002,669673,,26078330,13888361,0,0,0,0,0
