,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Andaman and Nicobar Islands,1,0,1,0,133,2179,2,8.0,0.0,10.0,0.0,782.0,12518.0,397000,0,0,0,7691,129,7559,0,297745,270989,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
1,1,1,1,1,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Andhra Pradesh,181,2,176,0,283311,186866,1315,1124.0,14.0,1248.0,0.0,1722035.0,1093140.0,52221000,0,0,0,2074217,14457,2057749,0,36712885,26125248,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
2,2,2,2,2,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Arunachal Pradesh,3,0,5,0,584,2545,25,19.0,0.0,25.0,0.0,3640.0,12337.0,1504000,0,0,0,55298,280,54989,0,798768,625192,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
3,3,3,3,3,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Assam,134,0,158,0,14574,86554,1332,1003.0,19.0,1055.0,0.0,339233.0,894374.0,34293000,0,0,0,618042,6127,609374,0,21547619,13053804,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
4,4,4,4,4,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Bihar,9,0,3,0,84500,353141,36,34.0,2427.0,-2397.0,0.0,950825.0,4033724.0,119520000,0,0,0,726259,12090,714133,0,55586150,31821229,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
5,5,5,5,5,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Chandigarh,7,0,5,0,920,2915,30,44.0,0.0,43.0,0.0,7779.0,27382.0,1179000,0,0,0,65515,820,64628,0,950404,663094,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
6,6,6,6,6,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Chhattisgarh,37,1,27,0,86367,116351,202,242.0,1.0,216.0,0.0,441838.0,747058.0,28724000,0,0,0,1007075,13594,993140,0,16950894,10273110,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
7,7,7,7,7,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,1437,3311,1,0.0,0.0,1.0,0.0,5736.0,17172.0,959000,0,0,0,10683,4,10679,0,680738,458174,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
8,8,8,8,8,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Delhi,65,1,36,0,50510,77037,226,541.0,2.0,421.0,0.0,343486.0,538135.0,19814000,0,0,0,1441514,25100,1416010,0,14270650,9467715,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
9,9,9,9,9,2021-12-08,TT,9419,159,8251,1289983,2392649,6093190,66365,59700.0,4387.0,60334.0,8439201.0,16157795.0,38176530.0,Goa,65,0,28,0,855,2666,162,317.0,4.0,199.0,0.0,5956.0,19752.0,1540000,0,0,0,179307,3388,175478,0,1289915,1055409,2021-12-09 11:04:25.268339,1332900000,2021-12-08 00:00:00,https://www.icmr.gov.in/,0,34666241,474111,34097388,651950127,809045574,495157857,0,0,0,0,0
