,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-10,GJ,Other State,,,,,,,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
1,2021-12-10,GJ,Ahmedabad,,,,238761,3411,235192,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
2,2021-12-10,GJ,Amreli,,,,10811,102,10709,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
3,2021-12-10,GJ,Anand,,,,9657,50,9593,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
4,2021-12-10,GJ,Aravalli,,,,5188,78,5109,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
5,2021-12-10,GJ,Banaskantha,,,,13636,162,13470,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
6,2021-12-10,GJ,Bharuch,,,,11444,118,11322,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
7,2021-12-10,GJ,Bhavnagar,,,,21487,302,21155,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
8,2021-12-10,GJ,Botad,,,,2218,42,2176,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
9,2021-12-10,GJ,Chhota Udaipur,,,,3395,38,3357,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
10,2021-12-10,GJ,Dahod,,,,9958,38,9917,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
11,2021-12-10,GJ,Dang,,,,866,18,848,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
12,2021-12-10,GJ,Devbhumi Dwarka,,,,4175,82,4093,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
13,2021-12-10,GJ,Gandhinagar,,,,20778,205,20562,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
14,2021-12-10,GJ,Gir Somnath,,,,8579,67,8510,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
15,2021-12-10,GJ,Jamnagar,,,,35045,478,34527,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
16,2021-12-10,GJ,Junagadh,,,,20543,272,20270,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
17,2021-12-10,GJ,Kheda,,,,10447,48,10397,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
18,2021-12-10,GJ,Kutch,,,,12680,145,12522,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
19,2021-12-10,GJ,Mahisagar,,,,8195,72,8122,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
20,2021-12-10,GJ,Mehsana,,,,24426,177,24248,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
21,2021-12-10,GJ,Morbi,,,,6506,87,6419,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
22,2021-12-10,GJ,Narmada,,,,5957,15,5942,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
23,2021-12-10,GJ,Navsari,,,,7273,25,7228,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
24,2021-12-10,GJ,Panchmahal,,,,11773,70,11701,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
25,2021-12-10,GJ,Patan,,,,11624,129,11495,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
26,2021-12-10,GJ,Porbandar,,,,3489,19,3469,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
27,2021-12-10,GJ,Rajkot,,,,58041,727,57294,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
28,2021-12-10,GJ,Sabarkantha,,,,9323,157,9166,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
29,2021-12-10,GJ,Surat,,,,144076,1957,142067,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
30,2021-12-10,GJ,Surendranagar,,,,8125,136,7988,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
31,2021-12-10,GJ,Tapi,,,,4449,24,4421,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
32,2021-12-10,GJ,Vadodara,,,,78420,788,77565,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
33,2021-12-10,GJ,Valsad,,,,6499,56,6415,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
34,2021-12-10,GJ,Unknown,,,,162,3,159,,2021-12-11 11:06:00.277486,,,,828006,10098,817428,
