Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Balod,3,0,0,,433,2305,0,6.0,0.0,1.0,,4456.0,17947.0,826165,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,27296,396,26891,,580977,374709,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Baloda Bazar,2,0,0,,2114,3559,0,5.0,0.0,1.0,,64395.0,59228.0,1305343,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,43108,471,42626,,745926,337388,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Balrampur,0,0,0,,18847,34725,0,9.0,0.0,0.0,,23415.0,41225.0,598855,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,20314,118,20184,,577485,293556,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Bametara,0,0,0,,414,3005,0,0.0,0.0,1.0,,4976.0,19217.0,197035,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,19974,237,19731,,539016,213702,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Bastar,3,0,1,,8677,9344,0,10.0,0.0,6.0,,32960.0,38213.0,1302253,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,21104,188,20901,,521833,274281,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Bijapur,0,0,0,,310,594,0,9.0,0.0,0.0,,2842.0,4581.0,229832,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,8335,55,8270,,109827,53293,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Bilaspur,4,0,2,,3412,7522,0,18.0,0.0,8.0,,19727.0,51704.0,1961922,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,65751,1212,64514,,1123134,820360,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Dakshin Bastar Dantewada,0,0,1,,597,2796,0,7.0,0.0,7.0,,4248.0,12841.0,533638,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,10892,25,10858,,174232,127287,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Dhamtari,0,0,2,,754,3027,0,4.0,0.0,11.0,,6415.0,18908.0,799199,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,27275,545,26718,,548486,306005,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
2021-12-11,CT,40,0,34,0,85842,149209,0,245.0,1.0,196.0,,458155.0,721066.0,Durg,5,0,3,,2410,4985,0,30.0,1.0,25.0,,18946.0,33309.0,3343079,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,97039,1803,95184,,1104444,695258,2021-12-11 23:02:06,28724000,2021-12-11 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007187,13594,993219,,17182283,10654704
