,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Ariyalur,1,0,1,,2637,15677,7,3.0,0.0,8.0,,9831.0,47008.0,752481,,,,16932,264,16657,,584976,332500,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
1,1,1,1,1,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Chengalpattu,53,0,57,,15149,34170,418,393.0,4.0,419.0,,35167.0,68942.0,2556244,,,,174415,2538,171275,,1466077,883992,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
2,2,2,2,2,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Chennai,116,2,102,,49745,95747,740,848.0,13.0,703.0,,92719.0,170513.0,7100000,,,,559359,8627,549425,,5222362,3585831,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
3,3,3,3,3,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Coimbatore,109,4,121,,14472,70131,834,819.0,16.0,887.0,,26897.0,116965.0,3472578,,,,251500,2487,247813,,2828809,1777683,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
4,4,4,4,4,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Cuddalore,6,0,7,,18412,30568,39,45.0,1.0,49.0,,62967.0,82402.0,2600880,,,,64466,873,63524,,1977502,1236482,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
5,5,5,5,5,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Dharmapuri,4,0,8,,5046,11679,63,38.0,0.0,62.0,,22168.0,44412.0,1502900,,,,28883,279,28525,,842312,471781,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
6,6,6,6,6,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Dindigul,4,0,5,,19444,40059,27,27.0,0.0,27.0,,52226.0,73584.0,2161367,,,,33280,651,32580,,1542832,926592,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
7,7,7,7,7,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Erode,54,2,69,,15358,34781,500,374.0,3.0,471.0,,60214.0,104944.0,2259608,,,,106923,702,105551,,1521995,971929,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
8,8,8,8,8,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Kallakurichi,0,0,3,,7924,20309,19,17.0,0.0,16.0,,26217.0,55199.0,1370281,,,,31583,210,31346,,866278,591484,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
9,9,9,9,9,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Kancheepuram,16,0,20,,4863,13820,126,144.0,0.0,137.0,,15799.0,41464.0,1166401,,,,75818,1265,74333,,729818,397965,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
10,10,10,10,10,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Kanyakumari,13,0,12,,6937,32741,64,84.0,2.0,61.0,,11322.0,48695.0,1863178,,,,62904,1059,61722,,1171052,744601,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
11,11,11,11,11,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Karur,14,0,15,,8863,17217,125,102.0,2.0,116.0,,22944.0,25962.0,1076588,,,,24774,364,24250,,759187,449163,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
12,12,12,12,12,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Krishnagiri,17,0,10,,16047,23369,46,82.0,2.0,50.0,,53578.0,60581.0,1883731,,,,43961,355,43484,,1179219,657317,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
13,13,13,13,13,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Madurai,6,1,7,,26151,46452,60,41.0,3.0,53.0,,54227.0,83704.0,3991038,,,,75587,1186,74326,,1755890,969329,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
14,14,14,14,14,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Mayiladuthurai,3,0,1,,0,0,26,23.0,0.0,26.0,,0.0,0.0,901000,,,,23402,318,23058,,0,0,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
15,15,15,15,15,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Nagapattinam,4,0,6,,8774,20024,56,32.0,0.0,48.0,,19790.0,54712.0,1614069,,,,21388,357,20972,,911539,542342,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
16,16,16,16,16,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Namakkal,49,0,43,,8397,26134,316,295.0,5.0,325.0,,20800.0,47880.0,1721179,,,,53969,514,52995,,1072557,628689,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
17,17,17,17,17,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Nilgiris,19,0,14,,587,4628,124,92.0,2.0,111.0,,1157.0,10385.0,735071,,,,34234,218,33869,,509843,470134,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
18,18,18,18,18,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Perambalur,0,0,1,,3181,6282,7,2.0,0.0,7.0,,6512.0,18505.0,564511,,,,12111,245,11858,,377843,228635,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
19,19,19,19,19,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Pudukkottai,4,1,2,,14090,20979,21,14.0,2.0,15.0,,55759.0,64230.0,1918725,,,,30353,420,29908,,976544,631437,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
20,20,20,20,20,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Ramanathapuram,1,0,2,,5044,15353,17,10.0,0.0,10.0,,18579.0,44801.0,1337560,,,,20647,359,20268,,939011,582056,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
21,21,21,21,21,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Ranipet,4,0,5,,4816,12587,19,41.0,3.0,31.0,,16135.0,35932.0,1210277,,,,43620,778,42789,,632250,334432,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
22,22,22,22,22,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Salem,44,0,54,,21861,53982,327,301.0,5.0,318.0,,59157.0,111432.0,3480008,,,,101821,1715,99618,,2209229,1397039,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
23,23,23,23,23,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Sivaganga,3,0,5,,6620,17999,26,28.0,0.0,32.0,,14731.0,34354.0,1341250,,,,20443,210,20180,,793056,519239,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
24,24,24,24,24,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Tenkasi,1,0,0,,5639,18508,8,4.0,0.0,5.0,,13213.0,42047.0,1407627,,,,27398,486,26906,,830017,499897,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
25,25,25,25,25,2021-12-11,TN,681,13,719,102414,450009,1079277,5216,4923.0,80.0,5143.0,712956.0,1198807.0,2288790.0,Thanjavur,12,0,12,,13769,29831,127,84.0,0.0,130.0,,37232.0,74855.0,2402781,,,,76238,998,75100,,1474280,853388,2021-12-11T23:56:11.935263+05:30,75695000,,,,2734715,36599,2690346,55394861,47553849,28899038,0,0,0,0,0
