,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-12,UP,Agra,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
1,2021-12-12,UP,Aligarh,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
2,2021-12-12,UP,Ambedkar Nagar,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
3,2021-12-12,UP,Amethi,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
4,2021-12-12,UP,Amroha,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
5,2021-12-12,UP,Auraiya,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
6,2021-12-12,UP,Ayodhya,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
7,2021-12-12,UP,Azamgarh,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
8,2021-12-12,UP,Baghpat,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
9,2021-12-12,UP,Bahraich,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
10,2021-12-12,UP,Ballia,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
11,2021-12-12,UP,Balrampur,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
12,2021-12-12,UP,Banda,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
13,2021-12-12,UP,Barabanki,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
14,2021-12-12,UP,Bareilly,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
15,2021-12-12,UP,Basti,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
16,2021-12-12,UP,Bhadohi,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
17,2021-12-12,UP,Bijnor,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
18,2021-12-12,UP,Budaun,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
19,2021-12-12,UP,Bulandshahr,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
20,2021-12-12,UP,Chandauli,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
21,2021-12-12,UP,Chitrakoot,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
22,2021-12-12,UP,Deoria,,,,,,,,2021-12-13 10:15:19.885093,,,,1710554,22914,1687497,
