,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Ajmer,0,0,2,195,1223,8929,21,8.0,0.0,15.0,6143.0,12544.0,98173.0,2584913,,,,37842,410,37419,639956,1805287,1438982,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
1,1,1,1,1,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Alwar,0,0,5,408,4987,9888,7,17.0,0.0,10.0,21548.0,70599.0,159665.0,3671999,,,,59738,307,59412,1282470,2404573,1439278,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
2,2,2,2,2,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Banswara,0,0,0,274,2301,4480,0,0.0,0.0,0.0,6580.0,13736.0,32225.0,1798194,,,,10005,104,9901,241271,1118924,776448,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
3,3,3,3,3,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Baran,0,0,0,71,1222,5967,0,0.0,0.0,0.0,4733.0,8793.0,45501.0,1223921,,,,11997,61,11936,169139,809395,502828,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
4,4,4,4,4,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Barmer,0,0,1,207,6298,19369,3,4.0,0.0,2.0,2757.0,25126.0,79175.0,2604453,,,,15580,185,15388,336515,1551940,923304,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
5,5,5,5,5,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Bharatpur,0,0,0,57,2275,4443,0,3.0,0.0,0.0,3169.0,53739.0,63579.0,2549121,,,,19604,260,19341,388542,1469993,811740,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
6,6,6,6,6,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Bhilwara,0,0,0,102,1313,5288,0,0.0,0.0,1.0,7345.0,19644.0,125507.0,2410459,,,,29783,156,29627,405146,1586871,1124032,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
7,7,7,7,7,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Bikaner,7,0,2,367,1946,7895,13,13.0,0.0,14.0,5005.0,19515.0,86797.0,2367745,,,,40394,546,39821,605707,1522566,991681,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
8,8,8,8,8,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Bundi,0,0,0,39,3411,6936,0,0.0,0.0,0.0,3538.0,27854.0,44559.0,1113725,,,,7967,48,7919,181378,796160,566606,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
9,9,9,9,9,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Chittorgarh,0,0,0,35,937,2696,0,0.0,0.0,0.0,4712.0,19982.0,57215.0,1544392,,,,19809,139,19670,368878,1062395,803309,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
10,10,10,10,10,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Churu,1,1,0,44,3554,20945,0,1.0,1.0,0.0,5519.0,14624.0,91018.0,2041172,,,,16722,108,16614,326640,1360675,975522,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
11,11,11,11,11,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Dausa,0,0,1,61,1421,6008,2,0.0,0.0,1.0,3600.0,13949.0,76218.0,1637226,,,,13354,62,13292,216488,985654,632662,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
12,12,12,12,12,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Dholpur,0,0,0,91,2799,6550,0,0.0,0.0,0.0,2323.0,23115.0,55763.0,1207293,,,,11010,48,10962,229387,712093,426547,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
13,13,13,13,13,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Dungarpur,0,0,0,47,9524,12061,0,2.0,0.0,0.0,4078.0,31569.0,73527.0,1388906,,,,18412,131,18276,256851,806501,558398,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
14,14,14,14,14,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Ganganagar,2,0,0,112,1950,9895,0,2.0,0.0,0.0,5977.0,12715.0,66134.0,1969520,,,,19359,150,19205,343490,1337768,800695,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
15,15,15,15,15,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Hanumangarh,8,0,0,43,46,429,1,18.0,0.0,1.0,9821.0,11441.0,90001.0,1779650,,,,16074,111,15943,392928,1272433,940885,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
16,16,16,16,16,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Jaipur,7,0,8,1856,9709,30141,74,83.0,0.0,65.0,24267.0,70085.0,220034.0,6663971,,,,188138,1971,186047,2589024,4811799,2952336,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
17,17,17,17,17,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Jaisalmer,0,0,0,50,376,2003,3,0.0,0.0,3.0,1687.0,3484.0,17446.0,672008,,,,13646,66,13578,209509,428954,258410,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
18,18,18,18,18,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Jalore,0,0,0,63,1255,5911,0,0.0,0.0,0.0,5365.0,16505.0,76486.0,1830151,,,,10067,72,9995,382954,1053042,650808,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
19,19,19,19,19,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Jhalawar,0,0,0,53,508,3615,0,0.0,0.0,0.0,7624.0,4144.0,31998.0,1411327,,,,13612,187,13425,295168,945820,637939,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
20,20,20,20,20,2021-12-13,RJ,27.0,2.0,28.0,8393.0,79590,286996,142,183.0,2.0,143.0,226256.0,673656.0,2607334.0,Jhunjhunu,0,0,0,556,1342,13169,0,7.0,0.0,1.0,9063.0,9664.0,86302.0,2139658,,,,14819,158,14654,387171,1489266,1197915,2021-12-14T21:55:04.998685+05:30,77264000,,,,955103,8958,945886,15702355,44773414,29970605,0,0,0,0,0
