,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-13,DL,Central Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
1,2021-12-13,DL,East Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
2,2021-12-13,DL,New Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
3,2021-12-13,DL,North Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
4,2021-12-13,DL,North East Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
5,2021-12-13,DL,North West Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
6,2021-12-13,DL,Shahdara,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
7,2021-12-13,DL,South Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
8,2021-12-13,DL,South East Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
9,2021-12-13,DL,South West Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
10,2021-12-13,DL,West Delhi,,,,,,,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
11,2021-12-13,DL,Unknown,,,,1441748,25100,1416255,,2021-12-14 12:17:47.855612,,,,1441748,25100,1416255,
