,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Bokaro,,,,,2026,8345,,,,,,15282.0,53512.0,2061918,,,,,,,,1100868,568239,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
1,1,1,1,1,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Chatra,,,,,2094,4812,,,,,,13867.0,29249.0,1042304,,,,,,,,499377,228220,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
2,2,2,2,2,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Deoghar,,,,,2678,2634,,,,,,18965.0,17950.0,1491879,,,,,,,,796534,437014,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
3,3,3,3,3,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Dhanbad,,,,,2764,7422,,,,,,21553.0,47916.0,2682662,,,,,,,,1325827,673593,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
4,4,4,4,4,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Dumka,,,,,2993,5515,,,,,,17264.0,40710.0,1321096,,,,,,,,736091,421200,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
5,5,5,5,5,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,East Singhbhum,,,,,1634,8762,,,,,,9552.0,54681.0,2291032,,,,,,,,1474114,919886,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
6,6,6,6,6,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Garhwa,,,,,4045,4185,,,,,,20860.0,21869.0,1322387,,,,,,,,633792,312864,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
7,7,7,7,7,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Giridih,,,,,2578,11210,,,,,,19284.0,56738.0,2445203,,,,,,,,1157004,585937,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
8,8,8,8,8,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Godda,,,,,1948,6382,,,,,,11325.0,26785.0,1311382,,,,,,,,674019,376741,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
9,9,9,9,9,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Gumla,,,,,6232,3395,,,,,,45598.0,51226.0,1025656,,,,,,,,489257,281373,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
10,10,10,10,10,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Hazaribagh,,,,,2287,7048,,,,,,15048.0,44706.0,1734005,,,,,,,,947700,523169,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
