,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Aizawl,,,,,15,172,,,,,,421.0,1972.0,404054,,,,,,,,319795,263080,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
1,1,1,1,1,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Champhai,,,,,64,145,,,,,,271.0,851.0,125370,,,,,,,,75666,61102,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
2,2,2,2,2,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Hnahthial,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
3,3,3,3,3,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Khawzawl,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
4,4,4,4,4,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Kolasib,,,,,8,31,,,,,,231.0,1046.0,83054,,,,,,,,51749,38799,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
5,5,5,5,5,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Lawngtlai,,,,,83,33,,,,,,1641.0,1330.0,117444,,,,,,,,71094,35090,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
6,6,6,6,6,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Lunglei,,,,,79,554,,,,,,425.0,1689.0,154094,,,,,,,,98712,80521,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
7,7,7,7,7,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Mamit,,,,,6,24,,,,,,172.0,261.0,85757,,,,,,,,46115,34159,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
8,8,8,8,8,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Saiha,,,,,111,89,,,,,,224.0,265.0,56366,,,,,,,,35806,24076,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
9,9,9,9,9,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Saitual,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
10,10,10,10,10,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Serchhip,,,,,0,6,,,,,,16.0,112.0,64875,,,,,,,,42413,37858,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
11,11,11,11,11,2021-12-14,MZ,234,2,412,0,366,1054,2455,1790.0,17.0,2134.0,,3401.0,7526.0,Unknown,234.0,2.0,412.0,,0,0,2455.0,1790.0,17.0,2134.0,,0.0,0.0,0,,,,138847.0,525.0,135644.0,,0,0,2021-12-15 10:20:57.401118,1192000,,,,138847,525,135644,,741350,574685,0,0,0,0,0
