Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2021-12-15,AP,Anantapur,,,,158170,1093,156997,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Chittoor,,,,248378,1958,246159,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,East Godavari,,,,294941,1290,293244,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Guntur,,,,179100,1254,177679,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Y.S.R. Kadapa,,,,115918,644,115257,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Krishna,,,,120528,1471,118882,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Kurnool,,,,124209,854,123350,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,S.P.S. Nellore,,,,146977,1055,145762,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Prakasam,,,,138765,1129,137578,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Srikakulam,,,,123597,790,122676,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Visakhapatnam,,,,158680,1136,157348,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Vizianagaram,,,,83093,673,82391,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,West Godavari,,,,179857,1121,178599,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Other States,,,,2461,0,2461,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
2021-12-15,AP,Other Countries,,,,434,0,434,,2021-12-15 10:20:57.548634,2021-12-15 10:20:57.549807,,,2075108,14468,2058817,30827634
