,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Balod,0,0,0,,500,3269,1,7.0,0.0,4.0,,3099.0,17818.0,826165,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27300,396,26895,,582633,385414,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
1,1,1,1,1,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Baloda Bazar,1,0,4,,1591,3170,1,6.0,0.0,7.0,,22370.0,28831.0,1305343,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,43112,471,42632,,750229,344578,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
2,2,2,2,2,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Balrampur,0,0,0,,1051,364,2,1.0,0.0,3.0,,24651.0,40406.0,598855,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,20315,118,20187,,582363,296746,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
3,3,3,3,3,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Bametara,0,0,4,,281,4067,3,0.0,0.0,6.0,,2642.0,22048.0,197035,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,19974,237,19737,,540045,226052,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
4,4,4,4,4,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Bastar,1,0,0,,591,826,7,8.0,0.0,8.0,,21416.0,23739.0,1302253,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,21107,188,20906,,533362,287289,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
5,5,5,5,5,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Bijapur,1,0,0,,955,1321,0,6.0,0.0,1.0,,3860.0,5272.0,229832,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,8339,55,8271,,112708,56747,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
6,6,6,6,6,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Bilaspur,3,0,3,,2759,6085,11,23.0,0.0,12.0,,20103.0,42617.0,1961922,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,65763,1212,64521,,1134258,841386,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
7,7,7,7,7,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Dakshin Bastar Dantewada,0,1,0,,545,1179,6,4.0,1.0,4.0,,4117.0,11047.0,533638,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,10893,26,10860,,176589,132093,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
8,8,8,8,8,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Dhamtari,0,0,1,,780,3279,13,7.0,0.0,12.0,,5096.0,18485.0,799199,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27279,545,26726,,550794,314688,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
9,9,9,9,9,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Durg,6,0,4,,17395,33814,22,31.0,0.0,33.0,,30726.0,59344.0,3343079,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,97058,1803,95206,,1126420,738826,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
10,10,10,10,10,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Gariaband,3,0,0,,885,2459,3,4.0,0.0,0.0,,13821.0,15256.0,597653,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,19715,194,19517,,370946,164163,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
11,11,11,11,11,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Gaurela Pendra Marwahi,0,0,4,,803,1932,0,1.0,0.0,6.0,,3583.0,7244.0,0,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,12021,146,11872,,205684,110075,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
12,12,12,12,12,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Janjgir Champa,4,0,0,,2003,8260,3,12.0,0.0,5.0,,19707.0,56672.0,1620632,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,57682,840,56822,,1031531,491056,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
13,13,13,13,13,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Jashpur,0,0,0,,2461,2092,8,0.0,0.0,2.0,,47613.0,49414.0,852043,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,27146,212,26926,,561498,334811,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
14,14,14,14,14,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Kabeerdham,0,0,2,,674,712,1,1.0,0.0,3.0,,8337.0,12357.0,584667,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,22776,267,22508,,517035,294664,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
15,15,15,15,15,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Kondagaon,0,0,0,,41,879,1,0.0,0.0,2.0,,16158.0,43758.0,578326,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,13144,99,13045,,361361,174947,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
16,16,16,16,16,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Korba,0,0,3,,1348,2528,9,13.0,0.0,11.0,,13017.0,12292.0,1206563,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,54936,582,54322,,814704,447430,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
17,17,17,17,17,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Koriya,0,0,0,,179,668,0,1.0,0.0,0.0,,1611.0,5764.0,659039,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,26989,177,26811,,404878,268127,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
18,18,18,18,18,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Mahasamund,0,0,1,,600,5925,7,0.0,0.0,4.0,,3888.0,33566.0,1032275,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,31385,366,31017,,761186,703632,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
19,19,19,19,19,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Mungeli,0,0,1,,1153,1707,4,1.0,0.0,3.0,,9023.0,8295.0,701707,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,23935,167,23763,,416541,186528,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
20,20,20,20,20,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Narayanpur,0,0,0,,163,174,0,0.0,0.0,0.0,,1220.0,887.0,140206,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,4019,14,4005,,59717,28594,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
21,21,21,21,21,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Other State,1,0,0,,0,0,2,5.0,0.0,0.0,,0.0,0.0,0,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,825,131,688,,0,0,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
22,22,22,22,22,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Raigarh,10,0,1,,114,698,47,57.0,0.0,20.0,,974.0,4688.0,1493627,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,62770,979,61719,,1079549,1101377,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
23,23,23,23,23,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Raipur,1,0,8,,2958,7698,40,16.0,0.0,42.0,,24908.0,54565.0,4062160,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,158243,3141,155070,,1677997,1267403,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
24,24,24,24,24,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Rajnandgaon,0,0,3,,2601,19806,4,5.0,0.0,11.0,,6181.0,37800.0,1537520,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,56112,516,55590,,1124228,732932,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
25,25,25,25,25,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Sukma,0,0,0,,205,279,0,1.0,0.0,0.0,,1950.0,1949.0,249000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,8070,20,8049,,140965,91675,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
26,26,26,26,26,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Surajpur,0,0,0,,1276,2727,0,3.0,0.0,0.0,,56421.0,71170.0,660280,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,29036,224,28809,,519714,282031,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
27,27,27,27,27,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Surguja,0,0,0,,588,1133,1,0.0,0.0,0.0,,4246.0,9198.0,420661,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,33689,245,33444,,687997,384345,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
28,28,28,28,28,2021-12-15,CT,31,1,40,0,44896,118850,198,220.0,1.0,207.0,,374513.0,704844.0,Uttar Bastar Kanker,0,0,1,,396,1799,2,7.0,0.0,8.0,,3775.0,10362.0,748593,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,23662,224,23429,,500475,290345,2021-12-15 08:00:00+05:30,28724000,2021-12-15 08:00:00+05:30,https://twitter.com/HealthCgGov,,1007295,13595,993347,,17325407,10977954,0,0,0,0,0
