,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Ahmedabad,8,0,17,8848,3256,14381,60,88.0,0.0,87.0,49555.0,22998.0,115916.0,7208200,2021-12-15 23:55:38.328474,,,238823,3411,235264,5621612,6136532,4565277,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
1,1,1,1,1,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Amreli,0,0,2,1265,653,3918,0,2.0,0.0,2.0,6753.0,6819.0,53578.0,1513614,2021-12-15 23:55:38.328474,,,10813,102,10711,632222,971995,902426,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
2,2,2,2,2,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Anand,2,0,0,2527,248,3791,2,10.0,0.0,6.0,11228.0,1749.0,33953.0,2090276,2021-12-15 23:55:38.328474,,,9662,50,9599,608462,1518658,1442795,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
3,3,3,3,3,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Aravalli,0,0,0,1101,101,2224,0,0.0,0.0,0.0,6225.0,577.0,21865.0,1051746,2021-12-15 23:55:38.328474,,,5188,78,5109,390149,723174,707723,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
4,4,4,4,4,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Banaskantha,0,0,0,2617,761,4780,0,1.0,0.0,0.0,14906.0,6094.0,77130.0,3116045,2021-12-15 23:55:38.328474,,,13636,162,13470,933517,2184656,2097403,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
5,5,5,5,5,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Bharuch,1,0,0,1513,667,5934,13,1.0,0.0,9.0,9425.0,11755.0,88973.0,1550822,2021-12-15 23:55:38.328474,,,11445,118,11325,561521,1295788,1090087,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
6,6,6,6,6,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Bhavnagar,1,0,11,2669,1965,16667,8,9.0,1.0,19.0,18624.0,11748.0,141256.0,2877961,2021-12-15 23:55:38.328474,,,21494,302,21171,1273967,1774332,1619370,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
7,7,7,7,7,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Botad,0,0,0,506,340,2527,0,0.0,0.0,0.0,3341.0,1860.0,18183.0,656005,2021-12-15 23:55:38.328474,,,2218,42,2176,270569,388964,357553,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
8,8,8,8,8,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Chhota Udaipur,0,0,0,987,782,3805,0,0.0,0.0,0.0,4575.0,5550.0,30061.0,1071831,2021-12-15 23:55:38.328474,,,3395,38,3357,300917,650001,610316,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
9,9,9,9,9,2021-12-15,GJ,53,0,53,70263,32252,217059,224,426.0,5.0,283.0,427673.0,277870.0,2051611.0,Dahod,0,0,0,1797,178,11188,0,0.0,0.0,3.0,11870.0,1842.0,95527.0,2126558,2021-12-15 23:55:38.328474,,,9958,38,9920,771301,1507611,1429209,2021-12-15 23:55:38.327712,67936000,2021-12-15 23:55:38.328827,,,828137,10097,817485,33450239,46431838,39784804,0,0,0,0,0
