Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Bagalkote,0,0,0,,10112,30565,0,1.0,0.0,2.0,,65923.0,142770.0,1890826,,,,35185,333,34848,,1358171,1045887,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Ballari,1,0,10,,3445,14774,0,16.0,1.0,26.0,,17358.0,71642.0,2532383,,,,97835,1687,96034,,1989088,1312889,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Belagavi,12,0,6,,4892,27966,0,45.0,2.0,22.0,,28835.0,166396.0,4778439,,,,80057,946,79023,,3496271,2550815,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Bengaluru Rural,3,0,1,,1935,5776,0,18.0,0.0,16.0,,11316.0,33977.0,987257,,,,62131,892,61199,,753674,608602,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Bengaluru Urban,205,2,139,,12622,41767,0,1269.0,18.0,1116.0,,91867.0,279535.0,9588910,,,,1259388,16372,1237445,,9623901,7590405,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Bidar,0,0,0,,12290,16510,0,2.0,2.0,1.0,,58611.0,61498.0,1700018,,,,24351,404,23943,,1160255,811593,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Chamarajanagara,3,0,2,,2912,7874,0,13.0,0.0,32.0,,19831.0,21906.0,1020962,,,,33109,503,32573,,734991,541731,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Chikkaballapura,0,0,0,,2389,18042,0,4.0,0.0,10.0,,10212.0,35865.0,1254377,,,,43991,431,43552,,936759,688700,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Chikkamagaluru,1,0,62,,1788,7302,0,61.0,2.0,86.0,,8137.0,29707.0,1137753,,,,51414,398,50886,,778726,566335,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Chitradurga,3,0,6,,4539,21133,0,12.0,0.0,15.0,,17773.0,35344.0,1660378,,,,36752,209,36508,,1211416,865398,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Dakshina Kannada,16,0,6,,1490,9119,0,120.0,0.0,100.0,,12137.0,66353.0,2083625,,,,116110,1691,114255,,1596170,1272364,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Davanagere,1,0,2,,2631,14179,0,6.0,0.0,12.0,,19936.0,59653.0,1946905,,,,51025,608,50404,,1197545,858851,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Dharwad,1,0,2,,4351,11548,0,31.0,0.0,120.0,,33952.0,64115.0,1846993,,,,61448,1323,60080,,1403938,988806,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Gadag,0,0,0,,625,3272,0,0.0,0.0,1.0,,3723.0,25202.0,1065235,,,,26073,319,25754,,788549,516402,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Hassan,21,0,11,,5923,18325,0,71.0,0.0,83.0,,23092.0,84442.0,1776221,,,,112209,1259,110855,,1300104,995876,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Haveri,0,0,0,,3762,13982,0,1.0,0.0,1.0,,17621.0,46046.0,1598506,,,,21960,643,21316,,1099664,743240,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Kalaburagi,0,0,0,,6647,14252,0,8.0,0.0,7.0,,44734.0,57356.0,2564892,,,,61968,822,61137,,1735352,1042685,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Kodagu,20,0,11,,462,4526,0,177.0,0.0,64.0,,1784.0,15663.0,554762,,,,37529,333,36959,,398165,345676,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Kolar,1,0,0,,7117,21891,0,8.0,1.0,24.0,,16657.0,56977.0,1540231,,,,47046,642,46392,,1124109,834509,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Koppal,0,0,0,,4291,5667,0,0.0,0.0,4.0,,22962.0,24185.0,1391292,,,,35207,528,34670,,931638,645439,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Mandya,3,0,3,,3566,25289,0,26.0,0.0,14.0,,9894.0,61866.0,1808680,,,,73904,655,73204,,1260631,1082470,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
2021-12-15,KA,317,2,301,119845,123476,442039,0,2153.0,28.0,2201.0,734037.0,672640.0,1852071.0,Mysuru,8,0,21,,7040,18879,0,97.0,0.0,169.0,,39531.0,91519.0,2994744,,,,180083,2425,177458,,2339959,1835213,2021-12-15T23:55:54.416836+05:30,65798000,,,,3001251,38277,2955766,54847017,46838573,34739887
