,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Amritsar,1,0,0,,3133,7064,0,7,8.0,0.0,10.0,,21604.0,47654.0,0,2490891,,,,47442,1599,45840,,1414476,696305,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
1,1,1,1,1,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Barnala,0,0,0,,278,1740,0,1,1.0,0.0,0.0,,1735.0,9850.0,0,596294,,,,5956,244,5705,,355718,157413,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
2,2,2,2,2,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Bathinda,0,0,2,,888,2553,0,0,8.0,0.0,12.0,,8125.0,22421.0,0,1388859,,,,41809,1047,40743,,664122,285379,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
3,3,3,3,3,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Faridkot,0,0,0,,370,1626,0,2,5.0,1.0,6.0,,2781.0,11219.0,0,618008,,,,13956,320,13632,,346465,178764,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
4,4,4,4,4,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Fatehgarh Sahib,1,0,0,,553,2448,0,5,1.0,0.0,2.0,,3345.0,14981.0,0,599814,,,,8907,336,8568,,367348,180308,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
5,5,5,5,5,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Fazilka,0,0,0,,1663,4387,0,2,1.0,0.0,1.0,,13973.0,30173.0,0,1180483,,,,20283,530,19752,,550747,236524,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
6,6,6,6,6,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Ferozepur,5,0,19,,1156,3575,0,4,38.0,0.0,45.0,,6752.0,21065.0,0,2026831,,,,14474,504,13930,,506379,198113,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
7,7,7,7,7,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Gurdaspur,-2,0,0,,1600,3259,0,6,4.0,0.0,3.0,,16274.0,32252.0,0,2299026,,,,22414,803,21602,,962111,620478,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
8,8,8,8,8,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Hoshiarpur,6,0,7,,575,2578,0,48,28.0,1.0,39.0,,5721.0,23625.0,0,1582793,,,,30992,995,29955,,1037169,709967,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
9,9,9,9,9,2021-12-15,PB,34,1,53,29320,19167,67342,0,225,236.0,9.0,254.0,175380.0,152288.0,513472.0,0.0,Jalandhar,1,0,2,,1135,5750,0,22,11.0,1.0,26.0,,8385.0,42804.0,0,2181753,,,,63533,1500,62016,,1489750,912430,0,0,2022-01-03T00:03:08.157752+05:30,29859000,,,,603814,16623,586868,16527102,16873954,8619366,0,0,0.0,0
