,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-15,KL,Other State,,,,,,,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
1,2021-12-15,KL,Alappuzha,,,,324365,2750,323255,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
2,2021-12-15,KL,Ernakulam,,,,637753,5140,622408,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
3,2021-12-15,KL,Idukki,,,,157077,839,152970,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
4,2021-12-15,KL,Kannur,,,,289531,3183,284626,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
5,2021-12-15,KL,Kasaragod,,,,142834,851,139209,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
6,2021-12-15,KL,Kollam,,,,409798,4169,405527,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
7,2021-12-15,KL,Kottayam,,,,341092,2330,336301,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
8,2021-12-15,KL,Kozhikode,,,,554199,4190,548262,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
9,2021-12-15,KL,Malappuram,,,,576960,3084,574023,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
10,2021-12-15,KL,Palakkad,,,,382747,3584,375618,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
11,2021-12-15,KL,Pathanamthitta,,,,203868,1682,198409,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
12,2021-12-15,KL,Thiruvananthapuram,,,,499274,5969,488044,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
13,2021-12-15,KL,Thrissur,,,,546725,4914,540981,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
14,2021-12-15,KL,Wayanad,,,,134193,659,131368,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
15,2021-12-15,KL,Unknown,,,,4006,282,3898,,2021-12-16 12:46:34.750834,,,,5204422,43626,5124899,
