,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-15,MN,CAPF Personnel,,,,,,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
1,2021-12-15,MN,Bishnupur,,,,9230,193,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
2,2021-12-15,MN,Chandel,,,,2360,41,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
3,2021-12-15,MN,Churachandpur,,,,10190,162,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
4,2021-12-15,MN,Imphal East,,,,27887,479,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
5,2021-12-15,MN,Imphal West,,,,44056,666,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
6,2021-12-15,MN,Jiribam,,,,1022,7,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
7,2021-12-15,MN,Kakching,,,,6449,115,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
8,2021-12-15,MN,Kamjong,,,,955,5,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
9,2021-12-15,MN,Kangpokpi,,,,2788,62,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
10,2021-12-15,MN,Noney,,,,1075,4,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
11,2021-12-15,MN,Pherzawl,,,,464,0,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
12,2021-12-15,MN,Senapati,,,,2249,10,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
13,2021-12-15,MN,Tamenglong,,,,3285,14,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
14,2021-12-15,MN,Tengnoupal,,,,1076,13,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
15,2021-12-15,MN,Thoubal,,,,9485,178,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
16,2021-12-15,MN,Ukhrul,,,,2998,44,,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
17,2021-12-15,MN,Unknown,,,,0,0,0,,2021-12-16 12:46:34.750834,,,,125569,1993,123263,
