,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-21,KA,Bagalkote,,,,35186,333,34849,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
1,2021-12-21,KA,Ballari,,,,97842,1687,96049,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
2,2021-12-21,KA,Belagavi,,,,80083,946,79046,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
3,2021-12-21,KA,Bengaluru Rural,,,,62132,892,61216,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
4,2021-12-21,KA,Bengaluru Urban,,,,1260481,16378,1238411,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
5,2021-12-21,KA,Bidar,,,,24351,404,23943,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
6,2021-12-21,KA,Chamarajanagara,,,,33115,503,32586,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
7,2021-12-21,KA,Chikkaballapura,,,,43992,432,43557,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
8,2021-12-21,KA,Chikkamagaluru,,,,51442,398,50980,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
9,2021-12-21,KA,Chitradurga,,,,36762,210,36518,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
10,2021-12-21,KA,Dakshina Kannada,,,,116215,1692,114352,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
11,2021-12-21,KA,Davanagere,,,,51026,608,50410,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
12,2021-12-21,KA,Dharwad,,,,61465,1324,60114,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
13,2021-12-21,KA,Gadag,,,,26074,319,25754,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
14,2021-12-21,KA,Hassan,,,,112246,1261,110906,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
15,2021-12-21,KA,Haveri,,,,21960,643,21316,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
16,2021-12-21,KA,Kalaburagi,,,,61973,823,61142,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
17,2021-12-21,KA,Kodagu,,,,37605,335,37070,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
18,2021-12-21,KA,Kolar,,,,47078,642,46401,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
19,2021-12-21,KA,Koppal,,,,35209,528,34670,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
20,2021-12-21,KA,Mandya,,,,73923,655,73232,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
21,2021-12-21,KA,Mysuru,,,,180166,2427,177595,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
22,2021-12-21,KA,Raichur,,,,39991,333,39648,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
23,2021-12-21,KA,Ramanagara,,,,24220,323,23892,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
24,2021-12-21,KA,Shivamogga,,,,69709,1090,68533,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
25,2021-12-21,KA,Tumakuru,,,,121252,1141,120003,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
26,2021-12-21,KA,Udupi,,,,77001,490,76478,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
27,2021-12-21,KA,Uttara Kannada,,,,56575,774,55713,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
28,2021-12-21,KA,Vijayapura,,,,36286,495,35787,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
29,2021-12-21,KA,Yadgir,,,,27548,206,27342,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
30,2021-12-21,KA,Other State,,,,36,3,33,,2021-12-21T23:56:04.694193+05:30,,,,3002944,38295,2957546,55487150
