,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7702,7570,129,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,587204,298879,288325,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,96,922,1018,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2075879,2059882,14480,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,66237840,38657844,27579996,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,157439,149737,307176,75,154,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55322,55020,280,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,1444055,802802,641253,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,446,1942,2388,2,3,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,619586,611135,6149,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,36268274,21664260,14604014,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,8769,148851,157620,94,119,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726376,714198,12093,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,93826867,56706525,37120342,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,75365,343025,418390,5,6,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65717,64539,1078,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,1654912,959431,695481,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,751,2669,3420,14,2,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1007412,993513,13595,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,28764497,17437207,11327290,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,20152,97330,117482,13,41,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10691,10682,4,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,1185515,691595,493920,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,832,2820,3652,1,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1442288,1416656,25101,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,24994867,14717281,10277586,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,41061,89995,131056,91,100,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,179769,175888,3485,2021-12-21,TT,34752164,478007,34195060,2021-12-21 11:47:17.808249,666126659,2021-12-20 00:00:00,1014079,1383621521,830042110,553579411,2380169,1296760,1083409,https://www.icmr.gov.in/,5326,453,8043,5091830,1513964,6605794,693,3436,4129,27,37,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.142857143,1340168.2857142857,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
