,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,East Garo Hills,0,0,0,,158,86,0,5,6.0,1.0,6.0,,2451.0,941.0,0,317618,,,,1918,15,1897,,61009,35852,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
1,1,1,1,1,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,East Jaintia Hills,1,0,0,,156,191,0,2,2.0,0.0,3.0,,860.0,1556.0,0,122436,,,,2448,32,2414,,69631,50508,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
2,2,2,2,2,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,East Khasi Hills,4,0,13,,184,498,0,103,33.0,3.0,90.0,,1470.0,3704.0,0,824059,,,,41902,1006,40841,,334269,274657,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
3,3,3,3,3,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,North Garo Hills,0,0,0,,193,200,0,0,1.0,0.0,0.0,,1248.0,1254.0,0,118325,,,,1686,8,1677,,68908,45050,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
4,4,4,4,4,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,Ri-Bhoi,0,0,0,,0,0,0,1,7.0,0.0,1.0,,0.0,0.0,0,0,,,,9740,90,9643,,0,0,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
5,5,5,5,5,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,South Garo Hills,0,0,0,,0,0,0,1,0.0,0.0,0.0,,184.0,218.0,0,142574,,,,1218,12,1206,,48761,29504,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
6,6,6,6,6,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,South West Garo Hills,0,0,0,,33,77,0,0,0.0,0.0,0.0,,2383.0,1010.0,0,172495,,,,1873,18,1855,,86110,58137,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
7,7,7,7,7,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,South West Khasi Hills,0,0,0,,11,19,0,0,1.0,0.0,0.0,,392.0,453.0,0,110152,,,,2550,17,2532,,35890,24709,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
8,8,8,8,8,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,West Garo Hills,0,0,1,,88,185,0,3,2.0,0.0,6.0,,2087.0,2275.0,0,642923,,,,9089,73,9012,,229397,162811,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
9,9,9,9,9,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,West Jaintia Hills,0,0,1,,53,72,0,2,1.0,0.0,1.0,,2068.0,2100.0,0,270352,,,,6824,136,6687,,97620,69442,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
10,10,10,10,10,2021-12-22,ML,5,0,15,0,1075,1649,0,121,53.0,4.0,112.0,,17838.0,17098.0,0.0,West Khasi Hills,0,0,0,,129,185,0,4,0.0,0.0,5.0,,1643.0,1666.0,0,385601,,,,5520,74,5446,,85752,57014,0,0,2021-12-22T23:56:11.342990+05:30,3224000,,,,84768,1481,83210,,1231419,880332,0,0,0.0,0
