Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Agar Malwa,,,,,150,1273,0,,,,,731.0,10799.0,0,,,,,,,,441656,437023,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Alirajpur,,,,,567,5765,0,,,,,4313.0,58007.0,728677,,,,,,,,402968,357776,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Anuppur,,,,,241,6751,0,,,,,15094.0,42046.0,749521,,,,,,,,514368,480882,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Ashoknagar,,,,,233,6922,0,,,,,2318.0,39229.0,844979,,,,,,,,575065,531022,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Balaghat,,,,,423,55058,0,,,,,2271.0,139841.0,1701156,,,,,,,,1339953,1247701,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Barwani,,,,,278,9282,0,,,,,3270.0,81153.0,1385659,,,,,,,,830929,754700,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Betul,,,,,478,14142,0,,,,,3472.0,112948.0,1575247,,,,,,,,1089729,973390,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Bhind,,,,,279,14728,0,,,,,1692.0,100634.0,1703562,,,,,,,,1102447,1030490,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Bhopal,,,,,1091,4951,0,,,,,8515.0,54898.0,2368145,,,,,,,,2079139,1866213,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
2021-12-23,MP,30,0,19,0,24953,523748,0,148.0,2.0,126.0,,182148.0,3402374.0,Burhanpur,,,,,207,2190,0,,,,,2143.0,21678.0,756993,,,,,,,,532727,498607,2021-12-24 10:38:12.408545,82232000,,,,793581,10531,782859,,51991793,48726645
