,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7704,7572,129,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,588862,299040,289822,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,75,692,767,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2076077,2060236,14483,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,66712064,38844166,27867898,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,80508,145692,226200,103,175,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55324,55023,280,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,1447048,803314,643734,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,250,1159,1409,1,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,619819,611398,6152,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,36565282,21680771,14884511,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,7134,121526,128660,119,130,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726396,714215,12094,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,95113961,56953357,38160604,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,170750,720953,891703,17,8,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65731,64554,1078,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,1661487,960831,700656,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,680,2635,3315,5,10,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1007479,993591,13595,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,29033240,17489561,11543679,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,25374,104538,129912,33,44,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10691,10682,4,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,1192194,693170,499024,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,765,2823,3588,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1442515,1416789,25102,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,25214897,14786569,10428328,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,31992,70550,102542,125,58,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,179844,175934,3518,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,2385739,1297711,1088028,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,413,2110,2523,43,36,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,828794,818051,10106,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,87696852,46617495,41079357,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,23847,157083,180930,91,41,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,772326,761966,10062,2021-12-23,TT,34765976,478759,34208926,2021-12-23 11:32:52.942680,668643929,2021-12-22 00:00:00,1287758,1397237120,833051412,564185708,31781333,19235935,12545398,https://www.icmr.gov.in/,7495,434,6960,5831919,1517385,7349304,40843,142292,183135,55,14,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363447.4285714286,1340168.5714285714,16386.14285714286,0,0,0,,,1332900000,Haryana,28672000
