Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Bishnupur,2,0,,60,144,373,0,5.0,1.0,,597.0,917.0,2822.0,240363,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,9237,194,,75480,134205,96582,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Chandel,0,0,,15,6,24,0,1.0,0.0,,175.0,143.0,559.0,144028,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,2365,41,,33228,27687,21422,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Churachandpur,1,0,,81,0,4,0,2.0,1.0,,876.0,324.0,998.0,271274,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,10192,163,,122078,108809,82421,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Imphal East,0,0,,187,274,598,0,36.0,0.0,,1640.0,1718.0,4208.0,452661,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,27927,479,,252938,263903,196856,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Imphal West,5,1,,249,506,983,0,41.0,4.0,,2880.0,2621.0,5367.0,514683,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,44114,670,,456490,323500,252148,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Jiribam,0,0,,35,15,33,0,0.0,0.0,,251.0,64.0,162.0,43818,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,1022,7,,28612,28690,23367,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Kakching,0,0,,19,84,348,0,1.0,0.0,,251.0,406.0,2030.0,135481,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,6450,115,,61375,87613,65152,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Kamjong,0,0,,0,0,0,0,0.0,0.0,,80.0,219.0,115.0,45616,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,955,5,,14517,12342,8179,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Kangpokpi,0,0,,7,5,6,0,1.0,0.0,,125.0,273.0,376.0,0,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,2789,62,,41673,44004,29259,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Noney,0,0,,8,0,0,0,1.0,0.0,,64.0,82.0,92.0,0,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,1076,4,,18087,19040,13489,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Pherzawl,0,0,,1,4,9,0,0.0,0.0,,34.0,44.0,189.0,47250,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,464,0,,7524,13319,12280,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Senapati,0,0,,158,4,1,0,4.0,0.0,,1052.0,214.0,266.0,354772,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,2253,10,,70101,31580,23576,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Tamenglong,0,0,,18,0,0,0,0.0,0.0,,255.0,134.0,238.0,140143,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,3285,14,,51169,22585,16277,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Tengnoupal,0,0,,12,6,21,0,0.0,0.0,,72.0,122.0,387.0,0,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,1076,13,,15862,27363,17874,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Thoubal,0,0,,59,286,659,0,4.0,1.0,,583.0,1305.0,3870.0,420517,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,9490,179,,122919,147005,96685,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
2021-12-24,MN,8,1,13,962,1337,3068,0,96.0,7.0,101.0,9208.0,8981.0,22032.0,Ukhrul,0,0,,53,3,9,0,0.0,0.0,,273.0,395.0,353.0,183115,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,2998,44,,81301,27094,19830,2021-12-24 21:56:13,3103000,2021-12-24 14:00:00+05:30,https://twitter.com/health_manipur,,125693,2000,123507,1453354,1318739,975397
