,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Alipurduar,2,0,3,,95,1394,18,13.0,0.0,16.0,,2776.0,37913.0,1700000,,,,15776,102,15640,,1068394,676047,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
1,1,1,1,1,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Bankura,8,0,9,,35,672,37,56.0,0.0,57.0,,3707.0,83209.0,3596292,,,,37004,276,36611,,2562182,1322265,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
2,2,2,2,2,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Birbhum,17,0,14,,84,1806,134,88.0,2.0,100.0,,4116.0,53872.0,3502387,,,,42032,294,41535,,1439550,966549,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
3,3,3,3,3,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Cooch Behar,6,0,9,,405,2196,79,48.0,0.0,63.0,,7043.0,65241.0,2822780,,,,29885,99,29659,,1908680,916037,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
4,4,4,4,4,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Dakshin Dinajpur,3,0,7,,42,731,78,28.0,0.0,51.0,,2553.0,62019.0,1670931,,,,18683,176,18416,,1129697,735583,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
5,5,5,5,5,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Darjeeling,25,0,17,,64,1279,118,120.0,1.0,116.0,,5076.0,58790.0,1842034,,,,58388,551,57587,,1397012,1089158,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
6,6,6,6,6,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Hooghly,37,0,39,,372,3804,296,263.0,6.0,265.0,,7959.0,121576.0,5520389,,,,89171,1032,87600,,3796133,2282876,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
7,7,7,7,7,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Howrah,40,0,33,,104,965,244,219.0,0.0,221.0,,8997.0,71029.0,4841638,,,,101394,1544,99384,,3253832,2076658,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
8,8,8,8,8,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Jalpaiguri,7,0,11,,173,821,83,58.0,0.0,77.0,,6287.0,57210.0,3869675,,,,42708,592,41964,,1526457,790933,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
9,9,9,9,9,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Jhargram,1,0,3,,14,215,20,23.0,0.0,23.0,,1779.0,41061.0,1136548,,,,12368,27,12295,,805724,440427,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
10,10,10,10,10,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Kalimpong,1,0,1,,9,63,8,8.0,0.0,7.0,,215.0,1658.0,251642,,,,7162,54,7088,,183725,166092,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
11,11,11,11,11,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Kolkata,197,3,175,,140,470,1227,1294.0,16.0,1117.0,,11372.0,51294.0,4486679,,,,333378,5302,325638,,4938538,3780493,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
12,12,12,12,12,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Malda,13,0,5,,790,4039,46,31.0,0.0,38.0,,15222.0,77376.0,3997970,,,,33868,188,33598,,2448331,1076438,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
13,13,13,13,13,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Murshidabad,2,0,4,,2,48,25,19.0,0.0,26.0,,13454.0,120516.0,7102430,,,,34249,331,33866,,4766311,2139037,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
14,14,14,14,14,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,Nadia,35,0,25,,2,20,184,204.0,5.0,157.0,,9175.0,123704.0,5168488,,,,74914,901,73658,,3572757,1731040,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
15,15,15,15,15,2021-12-25,WB,552,4,536,32373,4728,41555,3971,3571.0,51.0,3563.0,234180.0,178628.0,2192744.0,North 24 Parganas,96,0,92,,740,4271,719,572.0,14.0,628.0,,22402.0,295083.0,10082852,,,,335873,5005,329587,,7027394,4707592,2021-12-25T23:56:19.325727+05:30,96906000,,,,1630082,19711,1602913,21201833,64472670,37808701,0,0,0,0,0
