Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Angul,0,0,0,,548,4648,0,6.0,0.0,4.0,,4280.0,41222.0,1271703,,,,43986,398,43571,,834076,565528,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Balangir,0,0,0,,1816,6543,0,2.0,0.0,1.0,,13653.0,46540.0,1648574,,,,23464,127,23322,,1106334,672714,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Balasore,8,0,0,,5567,12959,0,24.0,1.0,9.0,,31791.0,86364.0,2317419,,,,41068,300,40728,,1527763,1018831,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Bargarh,1,0,1,,898,6734,0,7.0,0.0,1.0,,10432.0,49638.0,1478833,,,,31179,341,30824,,1010114,603133,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Bhadrak,1,0,4,,1025,12554,0,8.0,0.0,15.0,,7001.0,77921.0,1506522,,,,26611,148,26449,,1092206,853281,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Boudh,0,0,0,,486,1309,0,0.0,0.0,2.0,,3241.0,10813.0,439917,,,,12660,112,12547,,289155,198131,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Cuttack,15,0,13,,2862,8662,0,72.0,0.0,112.0,,18241.0,64682.0,2618708,,,,95560,858,94607,,1667933,1073578,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Deogarh,0,0,0,,176,847,0,20.0,0.0,29.0,,1893.0,10882.0,312164,,,,6672,50,6589,,239104,132959,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Dhenkanal,3,0,0,,877,5612,0,9.0,0.0,2.0,,7466.0,35906.0,1192948,,,,20038,246,19780,,811617,522926,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Gajapati,2,0,0,,1335,1889,0,12.0,0.0,10.0,,7457.0,12256.0,575880,,,,9756,83,9660,,341611,227428,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Ganjam,2,0,1,,5644,6724,0,15.0,2.0,12.0,,33439.0,41234.0,3520151,,,,33986,483,33479,,2414606,2142844,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
2021-12-29,OR,221,2,165,63290,56814,184193,0,1032.0,10.0,1224.0,406858.0,345793.0,1207493.0,Jagatsinghpur,5,0,4,,217,3460,0,19.0,0.0,17.0,,2936.0,36165.0,1136604,,,,28114,319,27779,,762821,509845,2021-12-29 23:56:16.265700,43671000,2021-12-29 23:56:16.266393,,,1054381,8457,1044443,25398946,29126136,20446854
