Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Andaman and Nicobar Islands,8,0,3,0,61,471,0,17.0,0.0,11.0,0.0,435.0,2635.0,397000,0,0,0,7728,129,7585,0,299624,293580,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Andhra Pradesh,166,2,91,0,14845,272681,0,839.0,7.0,957.0,0.0,653315.0,1660321.0,52221000,0,0,0,2077145,14495,2061496,0,39698567,29908194,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Arunachal Pradesh,4,2,2,0,66,352,0,13.0,2.0,9.0,0.0,1445.0,4890.0,1504000,0,0,0,55343,282,55040,0,805342,650536,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Assam,192,0,101,0,5031,97305,0,740.0,9.0,719.0,0.0,37847.0,729883.0,34293000,0,0,0,620765,6164,612383,0,21733602,15893740,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Bihar,158,0,3,0,114371,548900,0,478.0,2.0,66.0,0.0,611646.0,3080683.0,119520000,0,0,0,726896,12096,714311,0,57816256,42282987,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Chandigarh,49,0,8,0,5522,8610,0,141.0,1.0,73.0,0.0,24292.0,43883.0,1179000,0,0,0,65895,1079,64646,0,986558,748874,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Chhattisgarh,190,0,18,0,15723,80373,0,647.0,3.0,171.0,0.0,95480.0,529807.0,28724000,0,0,0,1008187,13600,993818,0,17624686,12239926,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,516,4022,0,1.0,0.0,3.0,0.0,3255.0,16449.0,959000,0,0,0,10692,4,10687,0,697567,521685,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Delhi,1796,0,467,0,52851,71352,0,5398.0,4.0,1766.0,0.0,357092.0,559347.0,19814000,0,0,0,1448211,25107,1418694,0,15224050,11144689,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Goa,212,1,21,0,77,218,0,907.0,4.0,310.0,0.0,2589.0,11487.0,1540000,0,0,0,180872,3522,176304,0,1301127,1103640,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Gujarat,654,0,63,0,30737,156856,0,2729.0,7.0,454.0,0.0,207323.0,1159733.0,67936000,0,0,0,831732,10118,818652,0,46874540,42573346,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Haryana,427,1,56,0,113319,205443,0,1337.0,2.0,261.0,0.0,653199.0,1394838.0,28672000,0,0,0,773788,10064,762284,0,20038527,14364120,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Himachal Pradesh,87,1,50,0,954,3346,0,354.0,5.0,288.0,0.0,5505.0,20061.0,7300000,0,0,0,228857,3876,224515,0,5860897,5499987,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Jammu and Kashmir,123,2,78,0,2170,95552,0,856.0,9.0,827.0,0.0,15617.0,646153.0,13203000,0,0,0,341290,4528,335425,0,9683654,8921379,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Jharkhand,753,1,121,0,65188,84706,0,1990.0,2.0,259.0,0.0,452317.0,688002.0,37403000,0,0,0,351739,5144,344593,0,18523825,11203839,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
2021-12-31,TT,22774,406,8949,1110855,1496092,4735118,,81764.0,1966.0,52049.0,7937483.0,10321297.0,31187701.0,Karnataka,832,8,335,0,33904,218891,0,3368.0,30.0,1877.0,0.0,274645.0,1600052.0,65798000,0,0,0,3007337,38335,2960261,0,47648472,38667237,2022-01-01 12:27:38.776082,1332900000,2021-12-31 00:00:00,https://www.icmr.gov.in/,0,34861579,481486,34275312,678989110,846412916,605469270
