Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Almora,0,0,0,,66,1046,0,2.0,0.0,9.0,,633.0,10446.0,621927,,,,12242,196,12044,,385081,299074,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Bageshwar,0,0,0,,13,66,0,1.0,0.0,0.0,,107.0,701.0,259840,,,,5768,61,5706,,186038,159039,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Chamoli,0,0,0,,21,1868,0,2.0,0.0,3.0,,144.0,4473.0,391114,,,,12252,62,12190,,276430,254381,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Champawat,0,0,0,,53,1049,0,5.0,0.0,4.0,,493.0,5548.0,259315,,,,7621,53,7564,,187364,155937,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Dehradun,0,0,0,,1954,5850,0,113.0,2.0,88.0,,13780.0,46660.0,1698560,,,,112794,3526,109187,,1553799,1288239,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Haridwar,0,0,0,,1754,13991,0,11.0,0.0,10.0,,10387.0,84352.0,1927029,,,,51599,1024,50549,,1517345,1197807,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Nainital,0,0,0,,735,2655,0,42.0,0.0,17.0,,4979.0,22706.0,955128,,,,39392,947,38392,,756242,617958,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Pauri Garhwal,0,0,0,,287,1481,0,11.0,0.0,5.0,,1953.0,9975.0,686527,,,,17746,315,17421,,446483,341620,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Pithoragarh,0,0,0,,85,943,0,16.0,0.0,13.0,,975.0,8066.0,485993,,,,10301,182,10101,,326199,269821,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
2021-12-31,UT,147,1,99,15551970,6358,37585,0,363.0,3.0,291.0,109791.0,44051.0,269499.0,Rudraprayag,0,0,0,,19,190,0,1.0,0.0,3.0,,237.0,1640.0,236857,,,,8806,106,8700,,173113,137329,2022-01-01 12:11:14.000330,11141000,,,,345087,7418,337367,9505847540,7781813,6379280
