,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Alappuzha,0,0,0,,895,6435,916,752.0,367.0,776.0,,5306.0,40715.0,2121943,,,,326256,3596,324862,,1560158,1382069,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
1,1,1,1,1,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Ernakulam,0,0,0,,465,3075,4017,3305.0,227.0,3835.0,,7010.0,56749.0,3279860,,,,645470,5572,631596,,3034486,2429136,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
2,2,2,2,2,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Idukki,0,0,0,,139,1284,884,568.0,39.0,910.0,,1556.0,14967.0,1107453,,,,158615,974,155198,,876034,698047,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
3,3,3,3,3,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Kannur,0,0,0,,596,4181,1615,1216.0,120.0,1583.0,,5450.0,46839.0,2525637,,,,292496,3492,288599,,1949697,1633430,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
4,4,4,4,4,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Kasaragod,0,0,0,,405,1878,472,322.0,47.0,399.0,,2924.0,16574.0,1302600,,,,143704,921,140204,,940328,758327,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
5,5,5,5,5,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Kollam,0,0,0,,348,2197,1665,1136.0,194.0,1518.0,,7597.0,52903.0,2629703,,,,412778,4562,409892,,2011136,1650671,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
6,6,6,6,6,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Kottayam,0,0,0,,795,6011,1912,1559.0,170.0,2071.0,,4300.0,33433.0,1979384,,,,345069,2683,340999,,1516620,1267840,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
7,7,7,7,7,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Kozhikode,0,0,0,,993,6833,2801,2154.0,11.0,2798.0,,11314.0,84572.0,3089543,,,,559459,4288,555635,,2435746,1883306,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
8,8,8,8,8,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Malappuram,0,0,0,,2825,15674,1074,787.0,234.0,821.0,,22279.0,138989.0,4110956,,,,578927,3657,576112,,2999237,2108394,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
9,9,9,9,9,2022-01-01,KL,0,0,0,0,10079,64828,24264,13879.0,1476.0,17477.0,370668.0,96921.0,712167.0,Palakkad,0,0,0,,842,6815,698,503.0,231.0,724.0,,11077.0,89390.0,2810892,,,,384037,3909,376817,,2081176,1637721,2022-01-01 23:56:01.970329,35125000,2022-01-01 23:56:01.971056,,,5247177,47794,5179277,41497103,26160625,21187690,0,0,0,0,0
