Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Adilabad,,,,,236,5794,0,,,,,3503.0,63481.0,708952,,,,,,,,533001,300614,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Bhadradri Kothagudem,,,,,95,3529,0,,,,,3622.0,87128.0,1304811,,,,,,,,820379,533341,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Foreign Evacuees,,,,,0,0,0,,,,,0.0,0.0,0,,,,,,,,0,0,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Hyderabad,,,,,1115,1842,0,,,,,27464.0,45453.0,3441992,,,,,,,,3501692,2552249,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Jagtial,,,,,5,4043,0,,,,,279.0,53749.0,983414,,,,,,,,756922,500434,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Jangaon,,,,,65,880,0,,,,,2540.0,17465.0,582457,,,,,,,,413002,317101,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Jayashankar Bhupalapally,,,,,28,374,0,,,,,1159.0,34799.0,712257,,,,,,,,329984,249604,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Jogulamba Gadwal,,,,,129,3765,0,,,,,2983.0,52456.0,664971,,,,,,,,451391,257004,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Kamareddy,,,,,640,998,0,,,,,8439.0,39416.0,972625,,,,,,,,625047,439379,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
2022-01-01,TG,317,2,232,38965536,11674,57477,0,1662.0,8.0,1420.0,,367170.0,1464906.0,Karimnagar,,,,,77,640,0,,,,,4061.0,42233.0,1016063,,,,,,,,803579,723097,2022-01-02 10:45:55.550354,37220000,,,,682215,4029,674453,24482573496,27973161,19131217
