,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-01-02,NL,Dimapur,,,,14923,431,14436,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
1,2022-01-02,NL,Kiphire,,,,267,9,258,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
2,2022-01-02,NL,Kohima,,,,9505,126,9382,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
3,2022-01-02,NL,Longleng,,,,307,2,305,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
4,2022-01-02,NL,Mokokchung,,,,2381,56,2324,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
5,2022-01-02,NL,Mon,,,,1159,14,1145,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
6,2022-01-02,NL,Peren,,,,922,6,916,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
7,2022-01-02,NL,Phek,,,,604,18,586,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
8,2022-01-02,NL,Tuensang,,,,1101,13,1089,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
9,2022-01-02,NL,Wokha,,,,407,11,392,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
10,2022-01-02,NL,Zunheboto,,,,626,16,607,,2022-01-02T23:56:19.506670+05:30,,,,32202,702,31440,422927
