,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Anantnag,4,0,2,,5431,503,14,13.0,0.0,11.0,,5970.0,58506.0,1070144,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,16744,208,16514,,775502,771713,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
1,1,1,1,1,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Bandipora,2,0,8,,515,3325,28,13.0,0.0,33.0,,601.0,45331.0,385099,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,10177,111,10031,,305561,304833,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
2,2,2,2,2,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Baramulla,14,0,7,,2256,4272,117,89.0,1.0,104.0,,2832.0,51229.0,1015503,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,26034,291,25588,,785967,733617,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
3,3,3,3,3,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Budgam,11,0,5,,1747,495,63,56.0,1.0,51.0,,2202.0,44178.0,735753,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,24527,217,24259,,599483,603914,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
4,4,4,4,4,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Doda,2,0,0,,2389,533,28,46.0,1.0,14.0,,2649.0,11816.0,409576,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,8077,137,7879,,321984,306895,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
5,5,5,5,5,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Ganderbal,8,0,20,,1062,3753,74,52.0,0.0,79.0,,1221.0,41191.0,297003,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,11032,82,10862,,230140,225622,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
6,6,6,6,6,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Jammu,46,0,13,,9998,5848,120,198.0,1.0,85.0,,14484.0,45690.0,1526406,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,54317,1157,52814,,1222418,1039876,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
7,7,7,7,7,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Kathua,2,0,2,,2641,4028,8,16.0,0.0,4.0,,3802.0,18735.0,615711,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,9398,153,9229,,501710,451375,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
8,8,8,8,8,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Kishtwar,0,0,0,,703,667,4,1.0,0.0,2.0,,837.0,6635.0,230696,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,4855,44,4803,,169660,136704,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
9,9,9,9,9,2022-01-03,JK,178,0,109,53923,44438,51726,942,969.0,6.0,798.0,431123.0,56852.0,586039.0,Kulgam,4,0,1,,1192,3466,11,11.0,1.0,6.0,,1485.0,23163.0,422786,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,11558,118,11426,,405776,395508,2022-01-03 23:56:37,13203000,2022-01-03 17:00:00+05:30,https://twitter.com/diprjk,,341802,4530,335774,19507227,9730069,9101311,0,0,0,0,0
