Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Alappuzha,0.0,0.0,0.0,,4829.0,4769.0,0,665.0,88.0,618.0,,10135.0,43504.0,2121943,,,,326497.0,3596.0,325095.0,,1566077,1394375,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Ernakulam,0.0,0.0,0.0,,4138.0,5373.0,0,2737.0,123.0,2653.0,,10191.0,54745.0,3279860,,,,646304.0,5581.0,632444.0,,3038729,2435174,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Idukki,0.0,0.0,0.0,,3506.0,3087.0,0,481.0,45.0,725.0,,4666.0,13919.0,1107453,,,,158771.0,980.0,155429.0,,879545,701141,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Kannur,0.0,0.0,0.0,,3468.0,7655.0,0,974.0,64.0,1009.0,,8168.0,46969.0,2525637,,,,292834.0,3493.0,288929.0,,1953334,1642145,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Kasaragod,0.0,0.0,0.0,,1488.0,1515.0,0,237.0,64.0,349.0,,3809.0,14595.0,1302600,,,,143787.0,938.0,140345.0,,941842,760253,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Kollam,0.0,0.0,0.0,,10987.0,2000.0,0,928.0,203.0,1430.0,,16879.0,43169.0,2629703,,,,413105.0,4576.0,410344.0,,2022219,1653099,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Kottayam,0.0,0.0,0.0,,2715.0,3402.0,0,1289.0,79.0,1293.0,,6589.0,33363.0,1979384,,,,345404.0,2703.0,341529.0,,1519344,1271262,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Kozhikode,0.0,0.0,0.0,,3949.0,7788.0,0,1773.0,114.0,1774.0,,13699.0,77871.0,3089543,,,,560096.0,4395.0,556177.0,,2440076,1893473,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Malappuram,0.0,0.0,0.0,,5015.0,23006.0,0,680.0,148.0,600.0,,23007.0,132156.0,4110956,,,,579203.0,3658.0,576305.0,,3004502,2133076,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
2022-01-03,KL,2560.0,71.0,2150.0,0.0,72549,84847,0,18216.0,1362.0,18709.0,348708.0,153927.0,671728.0,Other State,,,,,,,0,,,,,,,0,,,,,,,,0,0,2022-01-04 12:22:38.909588,35125000,,,,5254974,48184,5186737,41595941,26235743,21289943
