Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Araria,1,0,1,,5388,3335,0,6.0,0.0,1.0,,16684.0,46332.0,2806200,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,14986,139,14842,,1463752,926456,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Arwal,1,0,0,,1283,2719,0,1.0,0.0,0.0,,4255.0,25702.0,700843,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,7382,109,7272,,384896,278278,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Aurangabad,5,0,0,,6300,1557,0,14.0,0.0,5.0,,23186.0,57918.0,2511243,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,20030,75,19942,,1515801,1041085,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Banka,1,0,1,,5900,3757,0,7.0,0.0,1.0,,12461.0,34413.0,2029339,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,7386,112,7268,,1140483,828765,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Begusarai,6,0,4,,15008,5258,0,15.0,0.0,6.0,,34204.0,64737.0,2954367,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,27237,561,26665,,1627687,1159443,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Bhagalpur,6,0,3,,9323,4031,0,20.0,0.0,9.0,,24635.0,54620.0,3032226,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,25865,353,25498,,1697661,1228915,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Bhojpur,7,0,3,,14746,4402,0,12.0,0.0,3.0,,31186.0,47459.0,2720155,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,10224,238,9977,,1485011,1062002,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Buxar,1,0,0,,16105,4714,0,6.0,0.0,2.0,,35176.0,52987.0,1707643,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,9258,217,9037,,1010853,802780,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,Darbhanga,12,0,0,,25426,3543,0,27.0,0.0,0.0,,43596.0,74400.0,3921971,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,10972,370,10574,,2245732,1695483,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
2022-01-04,BR,893,10887,56,144675,389268,191349,0,2237.0,0.0,170.0,1027592.0,994503.0,2104354.0,East Champaran,4,0,0,,26983,6324,0,5.0,0.0,0.0,,53109.0,68853.0,5082868,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,19029,527,18497,,2748717,2438931,2022-01-04 23:55:38,119520000,2022-01-04 23:55:00+05:30,https://twitter.com/BiharHealthDept,,728766,12096,714447,61442021,58502682,42819233
