,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Araria,9,0,4,,7065,2414,0,15.0,0.0,5.0,,22853.0,46363.0,2806200,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,14995,139,14846,,1470817,928870,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
1,1,1,1,1,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Arwal,4,0,0,,1717,1515,0,5.0,0.0,0.0,,5285.0,23610.0,700843,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,7386,109,7272,,386613,279793,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
2,2,2,2,2,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Aurangabad,14,0,8,,4512,1302,0,27.0,0.0,13.0,,27213.0,57245.0,2511243,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,20044,75,19950,,1520313,1042387,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
3,3,3,3,3,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Banka,4,0,5,,6202,2529,0,11.0,0.0,6.0,,18043.0,30905.0,2029339,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,7390,112,7273,,1146685,831294,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
4,4,4,4,4,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Begusarai,32,0,4,,6770,2798,0,47.0,0.0,10.0,,39299.0,51849.0,2954367,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,27269,561,26669,,1634457,1162241,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
5,5,5,5,5,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Bhagalpur,16,0,7,,14971,3154,0,36.0,0.0,16.0,,39161.0,55971.0,3032226,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,25881,353,25505,,1712632,1232069,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
6,6,6,6,6,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Bhojpur,12,0,2,,17799,5283,0,24.0,0.0,5.0,,47053.0,41280.0,2720155,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,10236,238,9979,,1502810,1067285,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
7,7,7,7,7,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Buxar,4,0,1,,15867,4814,0,10.0,0.0,3.0,,50262.0,48461.0,1707643,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,9262,217,9038,,1026720,807594,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
8,8,8,8,8,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,Darbhanga,23,0,7,,13923,5203,0,49.0,0.0,7.0,,56189.0,62493.0,3921971,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,10995,370,10581,,2259655,1700686,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
9,9,9,9,9,2022-01-05,BR,1659,0,184,164408,447644,162529,50,3819.0,0.0,337.0,1022339.0,1385819.0,1949827.0,East Champaran,10,0,1,,29348,6272,0,15.0,0.0,1.0,,81143.0,62323.0,5082868,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,19039,527,18498,,2778065,2445203,2022-01-05 23:40:24,119520000,2022-01-05 23:40:00+05:30,https://twitter.com/BiharHealthDept,,730425,12096,714631,61606429,58950326,42981762,0,0,0,0,0
