Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Anantnag,0,0,1,,7962,187,0,18.0,0.0,11.0,,20731.0,17769.0,1070144,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,16749,208,16517,,790509,772475,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Bandipora,3,0,20,,652,546,0,14.0,0.0,43.0,,1755.0,35768.0,385099,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,10185,111,10051,,306746,307310,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Baramulla,13,0,11,,1715,7062,0,90.0,1.0,108.0,,6020.0,48081.0,1015503,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,26050,291,25628,,789440,747467,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Budgam,16,0,13,,4134,3,0,77.0,1.0,59.0,,7068.0,23533.0,735753,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,24557,217,24276,,604485,603962,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Doda,3,0,2,,1107,481,0,38.0,1.0,19.0,,5763.0,7898.0,409576,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,8083,137,7891,,325190,307700,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Ganderbal,4,0,4,,1290,687,0,44.0,0.0,71.0,,3593.0,35939.0,297003,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,11041,82,10878,,232578,228795,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Jammu,109,0,17,,7075,3376,0,323.0,1.0,91.0,,30837.0,32932.0,1526406,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,54484,1157,52841,,1241027,1047545,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Kathua,10,0,2,,3076,2375,0,31.0,0.0,7.0,,10333.0,18931.0,615711,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,9415,153,9232,,508766,456497,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Kishtwar,3,0,0,,121,922,0,5.0,0.0,6.0,,1071.0,6219.0,230696,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,4859,44,4809,,169932,138163,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
2022-01-05,JK,418,0,140,59716,44914,37609,0,1391.0,4529.0,843.0,429842.0,145274.0,464477.0,Kulgam,1,0,1,,1879,1377,0,14.0,1.0,7.0,,4180.0,22664.0,422786,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,11562,118,11428,,408588,399900,2022-01-05 23:41:23,13203000,2022-01-05 17:00:00+05:30,https://twitter.com/diprjk,,342419,4530,336070,19623565,9824169,9188602
