,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Agar Malwa,,,,,4494,87,,,,,,24450.0,499.0,0,,,,,,,,466510,442557,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
1,1,1,1,1,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Alirajpur,,,,,2965,304,,,,,,23726.0,2892.0,728677,,,,,,,,429999,377011,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
2,2,2,2,2,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Anuppur,,,,,3340,289,,,,,,26838.0,1060.0,749521,,,,,,,,541821,491940,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
3,3,3,3,3,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Ashoknagar,,,,,2825,177,,,,,,31305.0,1008.0,844979,,,,,,,,606971,551055,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
4,4,4,4,4,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Balaghat,,,,,5067,219,,,,,,71355.0,1794.0,1701156,,,,,,,,1412730,1286949,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
5,5,5,5,5,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Barwani,,,,,3888,336,,,,,,33448.0,1970.0,1385659,,,,,,,,865429,779962,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
6,6,6,6,6,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Betul,,,,,4992,536,,,,,,71666.0,3995.0,1575247,,,,,,,,1164278,1062748,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
7,7,7,7,7,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Bhind,,,,,11350,94,,,,,,66148.0,3193.0,1703562,,,,,,,,1170073,1080661,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
8,8,8,8,8,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Bhopal,,,,,13662,3302,,,,,,111983.0,17480.0,2368145,,,,,,,,2199041,1919390,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
9,9,9,9,9,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Burhanpur,,,,,1410,1583,,,,,,27007.0,5168.0,756993,,,,,,,,561228,520924,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
10,10,10,10,10,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Chhatarpur,,,,,12535,92,,,,,,95459.0,849.0,1762857,,,,,,,,1266415,1099933,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
11,11,11,11,11,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Chhindwara,,,,,5069,3609,,,,,,92994.0,21906.0,2090306,,,,,,,,1748141,1641260,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
12,12,12,12,12,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Damoh,,,,,8507,106,,,,,,49978.0,4573.0,1263703,,,,,,,,908932,857237,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
13,13,13,13,13,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Datia,,,,,3964,67,,,,,,29972.0,613.0,786375,,,,,,,,604024,576208,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
14,14,14,14,14,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Dewas,,,,,4701,639,,,,,,73663.0,4045.0,1563107,,,,,,,,1142160,1047071,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
15,15,15,15,15,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Dhar,,,,,8379,1343,,,,,,80434.0,5700.0,2184672,,,,,,,,1539401,1421308,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
16,16,16,16,16,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Dindori,,,,,3874,8,,,,,,27829.0,318.0,704218,,,,,,,,518228,492791,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
17,17,17,17,17,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Guna,,,,,7187,480,,,,,,41849.0,3537.0,1240938,,,,,,,,901672,843072,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
18,18,18,18,18,2022-01-08,MP,1572,0,166,0,310890,41759,181,5198.0,3.0,654.0,,2920630.0,223424.0,Gwalior,,,,,9876,1997,,,,,,70204.0,15151.0,2030543,,,,,,,,1623351,1474150,2022-01-09 12:03:46.795471,82232000,,,,799287,10536,783713,,55025445,50561945,0,0,0,0,0
