Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Anantapur,138,0,14,,15183,10935,0,304.0,0.0,65.0,,176621.0,108991.0,4083315,,,,158598,1093,157221,,3423765,2554962,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Chittoor,254,0,18,,3456,3165,0,811.0,0.0,149.0,,208720.0,69990.0,4170468,,,,249662,1959,246808,,3605141,2890552,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,East Godavari,93,0,2,,7483,2701,0,343.0,0.0,59.0,,265521.0,65244.0,5151549,,,,295485,1290,293766,,4459358,3305119,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Guntur,104,1,16,,3441,96861,0,380.0,1.0,120.0,,224276.0,296622.0,4889230,,,,179748,1260,178112,,4218325,2857445,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Krishna,117,0,16,,8656,1041,0,480.0,0.0,67.0,,202578.0,108970.0,4529009,,,,121263,1481,119205,,3920809,3005721,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Kurnool,29,0,1,,13415,4220,0,97.0,0.0,20.0,,197194.0,34854.0,4046601,,,,124337,854,123386,,3204387,2380642,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Other Countries,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,434,0,434,,0,0,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Other States,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,2461,0,2461,,0,0,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Prakasam,40,0,11,,9719,30433,0,109.0,0.0,44.0,,171046.0,117068.0,3392764,,,,138920,1130,137701,,2874023,2277600,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,S.P.S. Nellore,103,0,14,,635,14920,0,329.0,1.0,73.0,,176611.0,89475.0,2966082,,,,147468,1060,146050,,2570326,2060268,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Srikakulam,55,0,5,,6411,22863,0,164.0,1.0,51.0,,142379.0,75500.0,2699471,,,,123896,793,122921,,2320232,1560939,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Visakhapatnam,196,1,29,,913,29800,0,826.0,4.0,90.0,,185611.0,259696.0,4288113,,,,159818,1143,157738,,3637184,2802867,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Vizianagaram,83,0,1,,760,3706,0,237.0,0.0,6.0,,87017.0,50410.0,2342868,,,,83366,673,82441,,1993394,1433106,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,West Godavari,25,0,3,,9759,18372,0,187.0,1.0,80.0,,204264.0,80873.0,3934782,,,,180291,1125,178974,,3439027,2546363,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
2022-01-09,AP,1257,2,140,38479,80863,243544,0,4373.0,8.0,851.0,223884.0,2413097.0,1413184.0,Y.S.R. Kadapa,20,0,10,,1032,4527,0,106.0,0.0,27.0,,171259.0,55491.0,2884524,,,,116112,644,115362,,2447751,1726156,2022-01-09 23:55:24.644647,52221000,2022-01-09 23:55:24.645165,,,2081859,14505,2062580,31605951,42113722,31401740
