,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Ambala,420,0,30,,556,368,24.0,1160.0,2.0,103.0,,58933.0,16625.0,1136784,,,,31460.0,511.0,29759,,983408,892254,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
1,1,1,1,1,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Bhiwani,22,0,0,,2189,1097,2.0,87.0,0.0,2.0,,53242.0,22219.0,1629109,,,,22502.0,652.0,21763,,854149,699236,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
2,2,2,2,2,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Charkhi Dadri,14,0,3,,820,883,0.0,25.0,0.0,6.0,,28243.0,9861.0,502276,,,,5108.0,139.0,4946,,410267,346957,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
3,3,3,3,3,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Faridabad,878,0,26,,8983,6263,41.0,2745.0,0.0,142.0,,101405.0,73206.0,1798954,,,,103131.0,717.0,99478,,1925484,1405624,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
4,4,4,4,4,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Fatehabad,3,0,0,,1793,1081,0.0,74.0,1.0,4.0,,39526.0,28623.0,941522,,,,17958.0,483.0,17402,,664416,420473,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
5,5,5,5,5,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Gurugram,2338,0,507,,9232,7241,271.0,9386.0,0.0,2352.0,,138321.0,81446.0,1514085,,,,193018.0,926.0,183619,,2505844,2004861,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
6,6,6,6,6,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Hisar,80,0,3,,2847,2025,3.0,308.0,1.0,20.0,,94402.0,54009.0,1742815,,,,54326.0,1138.0,52888,,1238740,816649,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
7,7,7,7,7,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Jhajjar,71,0,16,,1375,1571,3.0,300.0,0.0,40.0,,46342.0,33519.0,956907,,,,19173.0,328.0,18559,,797876,563573,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
8,8,8,8,8,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Jind,42,0,6,,1097,885,0.0,137.0,0.0,10.0,,54324.0,31253.0,1332042,,,,21356.0,533.0,20687,,886246,567605,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
9,9,9,9,9,2022-01-09,HR,5166.0,0.0,805,41109,51269,42010,436.0,19234.0,8.0,3328.0,289709.0,1352198.0,804340.0,Kaithal,43,0,0,,1569,510,0.0,118.0,2.0,1.0,,68680.0,16750.0,1072861,,,,11373.0,348.0,10905,,849524,601414,2022-01-09T23:55:48.285303+05:30,28672000,,,,794151.0,10072.0,765758,14985715,21485180,15336209,0,0,0,0,0
