Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Ahmednagar,0.0,0.0,0.0,,18970.0,25766.0,0,942.0,4.0,191.0,,165982.0,118624.0,4543083,,,,344814.0,7166.0,336544.0,,3048521,1848838,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Akola,0.0,0.0,0.0,,6395.0,3303.0,0,368.0,0.0,43.0,,33926.0,18292.0,1818617,,,,59217.0,1428.0,57424.0,,1141336,628064,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Amravati,0.0,0.0,0.0,,10381.0,10273.0,0,236.0,0.0,0.0,,79039.0,52296.0,2887826,,,,96591.0,1598.0,94703.0,,1924052,1066392,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Aurangabad,0.0,0.0,0.0,,11612.0,9824.0,0,789.0,0.0,216.0,,84613.0,52104.0,3695928,,,,157048.0,4264.0,152114.0,,2723684,1422814,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Beed,0.0,0.0,0.0,,8880.0,6618.0,0,125.0,2.0,47.0,,75295.0,31714.0,2585962,,,,104323.0,2843.0,101358.0,,1677897,945384,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Bhandara,0.0,0.0,0.0,,9206.0,2777.0,0,180.0,0.0,8.0,,30304.0,18803.0,1198810,,,,60193.0,1124.0,58872.0,,913329,745282,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Buldhana,0.0,0.0,0.0,,12823.0,5099.0,0,90.0,1.0,0.0,,59710.0,28747.0,2588039,,,,85751.0,812.0,84825.0,,1706652,988904,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Chandrapur,0.0,0.0,0.0,,8288.0,9155.0,0,322.0,2.0,6.0,,25162.0,56848.0,2194262,,,,89386.0,1566.0,87483.0,,1535958,1059352,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Dhule,0.0,0.0,0.0,,2930.0,6289.0,0,143.0,0.0,37.0,,58446.0,33734.0,2048781,,,,46350.0,656.0,45566.0,,1381632,912454,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Gadchiroli,0.0,0.0,0.0,,9151.0,3581.0,0,150.0,0.0,14.0,,36142.0,21953.0,1071795,,,,30634.0,669.0,29787.0,,716123,480625,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Gondia,0.0,0.0,0.0,,8006.0,2263.0,0,228.0,0.0,182.0,,43487.0,12613.0,1322331,,,,40775.0,571.0,40124.0,,1005372,723298,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Hingoli,0.0,0.0,0.0,,5154.0,4313.0,0,41.0,0.0,10.0,,34108.0,23804.0,1178973,,,,18536.0,508.0,17991.0,,788596,452836,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Jalgaon,0.0,0.0,0.0,,18978.0,16950.0,0,340.0,0.0,54.0,,90591.0,99366.0,4224442,,,,140296.0,2716.0,137238.0,,2744156,1731236,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Jalna,0.0,0.0,0.0,,11850.0,6525.0,0,101.0,0.0,30.0,,51287.0,37920.0,1958483,,,,60970.0,1215.0,59638.0,,1342299,805228,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Kolhapur,0.0,0.0,0.0,,16801.0,16691.0,0,706.0,0.0,236.0,,120738.0,74444.0,3874015,,,,207823.0,5850.0,201387.0,,2915586,2021441,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
2022-01-10,MH,33470.0,8.0,29671.0,0.0,438937,426174,0,241486.0,94.0,87745.0,1175010.0,3046253.0,2187633.0,Latur,0.0,0.0,0.0,,6295.0,8357.0,0,428.0,3.0,166.0,,99443.0,39189.0,2455543,,,,92887.0,2448.0,90111.0,,1666299,921727,2022-01-11 11:26:14.542378,122153000,,,,6953514,141647,6602103,70545105,83627427,56428050
