Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,Central Delhi,,,,,9920,4827,0,,,,,54730.0,27070.0,0,,,,,,,,1466326,986907,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,East Delhi,,,,,9506,4963,0,,,,,53348.0,27634.0,0,,,,,,,,1232051,973192,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,New Delhi,,,,,6740,3584,0,,,,,43752.0,21586.0,0,,,,,,,,1053883,891783,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,North Delhi,,,,,8293,8346,0,,,,,56448.0,47353.0,0,,,,,,,,1517946,1081430,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,North East Delhi,,,,,7953,4132,0,,,,,71051.0,27849.0,0,,,,,,,,1314101,762407,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,North West Delhi,,,,,12859,6987,0,,,,,74016.0,41839.0,0,,,,,,,,1916600,1337237,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,Shahdara,,,,,7857,3329,0,,,,,50152.0,19373.0,0,,,,,,,,1142247,802798,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,South Delhi,,,,,7162,4486,0,,,,,43667.0,24234.0,0,,,,,,,,1413102,1026966,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,South East Delhi,,,,,10912,5954,0,,,,,63433.0,33193.0,0,,,,,,,,1540273,1146977,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,South West Delhi,,,,,13342,8208,0,,,,,80646.0,49863.0,0,,,,,,,,1820838,1440853,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,Unknown,0.0,0.0,0.0,,0,0,0,105195.0,64.0,54214.0,,0.0,0.0,0,,,,1568896.0,25177.0,1477913.0,,0,0,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
2022-01-11,DL,0,0,0,82884,104447,61450,0,105195.0,64.0,54214.0,627738.0,651324.0,359954.0,West Delhi,,,,,9903,6634,0,,,,,60081.0,39960.0,0,,,,,,,,1703177,1300215,2022-01-12 17:50:50.645595,19814000,2022-01-12 17:50:50.645595,,,1568896,25177,1477913,33643306,16120544,11750765
