Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Dimapur,187,0,65,,3485,1219,0,271.0,1.0,129.0,,10066.0,5230.0,379769,,,,15207,432,14574,,294245,221693,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Kiphire,0,0,0,,53,16,0,0.0,0.0,0.0,,227.0,119.0,74033,,,,267,9,258,,20959,10642,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Kohima,10,0,4,,957,297,0,22.0,0.0,5.0,,2680.0,1016.0,270063,,,,9528,126,9387,,111872,93760,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Longleng,0,0,0,,0,0,0,0.0,0.0,0.0,,22.0,36.0,50593,,,,307,2,305,,21546,16551,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Mokokchung,2,0,0,,417,67,0,4.0,0.0,0.0,,623.0,507.0,193171,,,,2385,56,2325,,71639,61731,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Mon,0,0,0,,37,53,0,1.0,0.0,1.0,,257.0,431.0,259604,,,,1160,14,1146,,72886,55255,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Peren,0,0,0,,169,61,0,2.0,0.0,0.0,,403.0,368.0,163294,,,,924,6,916,,22611,15713,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Phek,0,0,0,,156,44,0,0.0,0.0,0.0,,474.0,319.0,163294,,,,604,18,586,,37459,26009,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Tuensang,0,0,0,,1,19,0,14.0,0.0,0.0,,141.0,243.0,414801,,,,1115,13,1089,,42750,31251,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Wokha,0,0,0,,291,91,0,0.0,0.0,0.0,,753.0,318.0,166239,,,,407,11,392,,37475,26632,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
2022-01-12,NL,199,0,69,1277,5582,1873,0,314.0,1.0,135.0,4847.0,15720.0,8675.0,Zunheboto,0,0,0,,16,6,0,0.0,0.0,0.0,,74.0,88.0,141014,,,,626,16,607,,42186,27555,2022-01-12T23:56:13.106222+05:30,2150000,,,,32530,703,31585,429774,775628,586792
