Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,East Garo Hills,0.0,0.0,0.0,,183.0,48.0,0,1.0,0.0,0.0,,1569.0,757.0,317618,,,,1919.0,16.0,1902.0,,63366,37087,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,East Jaintia Hills,0.0,0.0,0.0,,75.0,93.0,0,6.0,0.0,1.0,,935.0,1034.0,122436,,,,2457.0,32.0,2418.0,,71507,52649,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,East Khasi Hills,0.0,0.0,0.0,,578.0,346.0,0,669.0,4.0,219.0,,10592.0,4822.0,824059,,,,42887.0,1013.0,41163.0,,354938,286534,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,North Garo Hills,0.0,0.0,0.0,,98.0,57.0,0,1.0,0.0,0.0,,1582.0,1067.0,118325,,,,1688.0,8.0,1678.0,,71230,47049,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,Ribhoi,,,,,,,0,,,,,,,258380,,,,,,,,117144,75336,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,,
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,South Garo Hills,0.0,0.0,0.0,,606.0,175.0,0,3.0,0.0,0.0,,1518.0,782.0,142574,,,,1221.0,12.0,1206.0,,50459,30546,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,South West Garo Hills,0.0,0.0,0.0,,39.0,45.0,0,0.0,0.0,0.0,,1701.0,978.0,172495,,,,1873.0,18.0,1855.0,,89070,59752,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,South West Khasi Hills,0.0,0.0,0.0,,16.0,12.0,0,6.0,0.0,0.0,,322.0,246.0,110152,,,,2559.0,17.0,2533.0,,36471,25301,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,,,,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,Unknown,,,,,,,0,,,,,,,0,,,,162.0,0.0,69.0,,0,0,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,,
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,West Garo Hills,0.0,0.0,0.0,,283.0,145.0,0,67.0,0.0,26.0,,3906.0,2896.0,642923,,,,9202.0,73.0,9048.0,,235251,167035,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,West Jaintia Hills,0.0,0.0,0.0,,161.0,49.0,0,13.0,0.0,5.0,,1497.0,704.0,270352,,,,6844.0,136.0,6693.0,,101084,71652,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
2022-01-15,ML,162.0,0.0,69.0,0,2335,1173,0,989.0,5.0,321.0,,27374.0,15987.0,West Khasi Hills,0.0,0.0,0.0,,157.0,85.0,0,11.0,1.0,0.0,,1939.0,1207.0,385601,,,,5532.0,75.0,5446.0,,89358,59786,0,2022-01-16 11:55:21.722648,3224000,,,,86147,1490,83666,,1279878,912727,0,0.0,0.0
