,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-01-15,HP,Bilaspur,,,,15314,90,14696,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
1,2022-01-15,HP,Chamba,,,,14124,161,13651,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
2,2022-01-15,HP,Hamirpur,,,,19403,308,18100,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
3,2022-01-15,HP,Kangra,,,,55416,1181,52130,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
4,2022-01-15,HP,Kinnaur,,,,3697,39,3534,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
5,2022-01-15,HP,Kullu,,,,10393,158,9797,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
6,2022-01-15,HP,Lahaul and Spiti,,,,2997,18,2958,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
7,2022-01-15,HP,Mandi,,,,33238,464,31788,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
8,2022-01-15,HP,Shimla,,,,29943,660,27859,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
9,2022-01-15,HP,Sirmaur,,,,16494,213,15321,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
10,2022-01-15,HP,Solan,,,,25324,317,23376,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
11,2022-01-15,HP,Una,,,,15946,263,14620,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
12,2022-01-15,HP,Unknown,,,,0,17,17,,2022-01-16 11:55:21.722648,,,,242289,3889,227847,
