Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Alipurduar,122,0,31,,99,1815,0,609.0,0.0,132.0,,26634.0,49902.0,1700000,,,,16520,102,15848,,1140217,822476,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Bankura,271,0,143,,682,3820,0,2365.0,0.0,730.0,,46625.0,88198.0,3596292,,,,40419,276,37782,,2739375,1658002,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Birbhum,776,3,360,,226,694,0,5492.0,6.0,2052.0,,24453.0,29879.0,3502387,,,,51306,307,44975,,1522877,1094601,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Cooch Behar,128,0,42,,2090,1171,0,727.0,1.0,201.0,,45222.0,63638.0,2822780,,,,30927,100,30085,,2003771,1125683,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Dakshin Dinajpur,182,0,73,,677,796,0,1288.0,1.0,330.0,,28934.0,42113.0,1670931,,,,20394,179,18968,,1184827,878547,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Darjeeling,597,0,182,,64,212,0,3239.0,2.0,907.0,,28715.0,22746.0,1842034,,,,62999,557,59190,,1463688,1192243,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Hooghly,745,1,531,,1441,8498,0,7892.0,11.0,3030.0,,96938.0,191809.0,5520389,,,,102709,1059,93162,,3983647,2779926,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Howrah,684,4,678,,1398,1961,0,9000.0,19.0,4510.0,,48875.0,163139.0,4841638,,,,120463,1582,108323,,3445432,2501174,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Jalpaiguri,307,2,92,,963,3376,0,1585.0,4.0,448.0,,37965.0,72851.0,3869675,,,,45039,599,42799,,1630571,980140,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
2022-01-16,WB,14938,36,9973,53876,24897,62739,0,142653.0,187.0,60272.0,452893.0,1459739.0,2576506.0,Jhargram,147,1,75,,6,83,0,1245.0,1.0,389.0,,15799.0,16861.0,1136548,,,,14128,28,12863,,842594,546180,0,2022-01-16T23:56:18.486763+05:30,96906000,,,,1897699,20088,1717306,22327098,68102295,45609714,0,0.0,0.0
