,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-01-16,TN,Railway Quarantine,,,,,,,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
1,2022-01-16,TN,Airport Quarantine,,,,,,,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
2,2022-01-16,TN,Other State,,,,,,,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
3,2022-01-16,TN,Ariyalur,,,,17327,265,16748,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
4,2022-01-16,TN,Chengalpattu,,,,197041,2560,178580,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
5,2022-01-16,TN,Chennai,,,,643727,8731,577405,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
6,2022-01-16,TN,Coimbatore,,,,264759,2530,253477,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
7,2022-01-16,TN,Cuddalore,,,,66529,877,63975,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
8,2022-01-16,TN,Dharmapuri,,,,29988,281,28935,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
9,2022-01-16,TN,Dindigul,,,,33984,652,32861,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
10,2022-01-16,TN,Erode,,,,110899,714,107796,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
11,2022-01-16,TN,Kallakurichi,,,,32617,210,31622,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
12,2022-01-16,TN,Kancheepuram,,,,82242,1276,76393,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
13,2022-01-16,TN,Kanyakumari,,,,67295,1067,62822,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
14,2022-01-16,TN,Karur,,,,25522,368,24731,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
15,2022-01-16,TN,Krishnagiri,,,,46152,362,44107,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
16,2022-01-16,TN,Madurai,,,,80356,1193,75467,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
17,2022-01-16,TN,Nagapattinam,,,,21919,362,21179,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
18,2022-01-16,TN,Namakkal,,,,56112,522,54374,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
19,2022-01-16,TN,Nilgiris,,,,36026,220,34481,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
20,2022-01-16,TN,Perambalur,,,,12898,247,12103,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
21,2022-01-16,TN,Pudukkottai,,,,30777,421,30048,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
22,2022-01-16,TN,Ramanathapuram,,,,21573,360,20504,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
23,2022-01-16,TN,Ranipet,,,,46612,781,43497,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
24,2022-01-16,TN,Salem,,,,105765,1732,101447,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
25,2022-01-16,TN,Sivaganga,,,,21234,213,20519,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
26,2022-01-16,TN,Tenkasi,,,,28028,486,27060,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
27,2022-01-16,TN,Thanjavur,,,,78954,1011,75871,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
28,2022-01-16,TN,Theni,,,,44613,524,43233,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
29,2022-01-16,TN,Thiruvallur,,,,131549,1880,121748,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
30,2022-01-16,TN,Thiruvarur,,,,42720,464,41716,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
31,2022-01-16,TN,Thoothukkudi,,,,59446,419,57108,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
32,2022-01-16,TN,Tiruchirappalli,,,,82947,1106,78691,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
33,2022-01-16,TN,Tirunelveli,,,,52559,439,50034,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
34,2022-01-16,TN,Tirupathur,,,,30681,628,29076,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
35,2022-01-16,TN,Tiruppur,,,,102406,1031,98487,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
36,2022-01-16,TN,Tiruvannamalai,,,,57575,675,55080,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
37,2022-01-16,TN,Vellore,,,,54003,1150,50715,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
38,2022-01-16,TN,Viluppuram,,,,47419,359,46141,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
39,2022-01-16,TN,Virudhunagar,,,,49021,550,46547,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
40,2022-01-16,TN,Mayiladuthurai,,,,23916,321,23218,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
41,2022-01-16,TN,Unknown,,,,0,0,0,,2022-01-17 11:56:09.389267,,,,2939923,36989,2760458,59548455
