,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,0,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Bokaro,,,,,7115,3741,0,,,,,,132899.0,24159.0,0,2061918,,,,,,,,1419425,795450,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
1,1,1,1,1,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Chatra,,,,,3846,1441,0,,,,,,22715.0,9137.0,0,1042304,,,,,,,,609765,339673,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
2,2,2,2,2,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Deoghar,,,,,6215,2190,0,,,,,,35691.0,14987.0,0,1491879,,,,,,,,893551,533839,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
3,3,3,3,3,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Dhanbad,,,,,6220,6134,0,,,,,,41455.0,37892.0,0,2682662,,,,,,,,1508867,934203,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
4,4,4,4,4,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Dumka,,,,,7849,2944,0,,,,,,34726.0,18519.0,0,1321096,,,,,,,,849430,536433,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
5,5,5,5,5,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,East Singhbhum,,,,,6503,4284,0,,,,,,31508.0,18372.0,0,2291032,,,,,,,,1643209,1178697,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
6,6,6,6,6,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Garhwa,,,,,3277,1692,0,,,,,,25181.0,13614.0,0,1322387,,,,,,,,785588,409460,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
7,7,7,7,7,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Giridih,,,,,5250,2915,0,,,,,,44036.0,26236.0,0,2445203,,,,,,,,1352094,791250,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
8,8,8,8,8,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Godda,,,,,2388,1568,0,,,,,,21103.0,11122.0,0,1311382,,,,,,,,752259,464970,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
9,9,9,9,9,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Gumla,,,,,4034,3356,0,,,,,,37211.0,20127.0,0,1025656,,,,,,,,667340,373767,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
10,10,10,10,10,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Hazaribagh,,,,,5317,2280,0,,,,,,28040.0,16230.0,0,1734005,,,,,,,,1069549,689141,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
11,11,11,11,11,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Jamtara,,,,,1455,1132,0,,,,,,9988.0,7226.0,0,790207,,,,,,,,492229,270534,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
12,12,12,12,12,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Khunti,,,,,1313,1678,0,,,,,,7561.0,15847.0,0,530299,,,,,,,,359043,221560,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
13,13,13,13,13,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Koderma,,,,,6819,521,0,,,,,,17077.0,3146.0,0,717169,,,,,,,,444652,253080,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
14,14,14,14,14,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Latehar,,,,,1768,1465,0,,,,,,17784.0,13246.0,0,725673,,,,,,,,466320,242344,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
15,15,15,15,15,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Lohardaga,,,,,1985,888,0,,,,,,19538.0,8345.0,0,461738,,,,,,,,276604,165958,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
16,16,16,16,16,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Pakur,,,,,2107,3913,0,,,,,,16615.0,24219.0,0,899200,,,,,,,,567582,286663,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
17,17,17,17,17,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Palamu,,,,,7832,2762,0,,,,,,66838.0,22263.0,0,1936319,,,,,,,,1120080,735959,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
18,18,18,18,18,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Ramgarh,,,,,1983,1528,0,,,,,,20485.0,10582.0,0,949159,,,,,,,,616962,402256,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
19,19,19,19,19,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Ranchi,,,,,5927,5301,0,,,,,,40829.0,33574.0,0,2912022,,,,,,,,1876912,1197056,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
20,20,20,20,20,2022-01-17,JH,2499,6,4266,0,99760,58478,9322,5279,25754.0,37.0,21762.0,,766192.0,393936.0,63731.0,Sahibganj,,,,,1460,1800,0,,,,,,14712.0,13471.0,0,1150038,,,,,,,,705637,356136,0,0,2022-01-18 12:43:13.699310,37403000,,,,407808,5209,372625,,20409877,12290701,63731,0,0.0,0
