,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-01-19,ML,East Garo Hills,,,,1926,16,1903,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
1,2022-01-19,ML,East Jaintia Hills,,,,2479,32,2420,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
2,2022-01-19,ML,East Khasi Hills,,,,43672,1015,41625,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
3,2022-01-19,ML,North Garo Hills,,,,1695,8,1679,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
4,2022-01-19,ML,Ri-Bhoi,,,,9859,90,9674,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
5,2022-01-19,ML,South Garo Hills,,,,1230,12,1207,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
6,2022-01-19,ML,South West Garo Hills,,,,1883,18,1855,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
7,2022-01-19,ML,South West Khasi Hills,,,,2565,17,2536,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
8,2022-01-19,ML,West Garo Hills,,,,9341,73,9094,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
9,2022-01-19,ML,West Jaintia Hills,,,,6872,136,6699,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
10,2022-01-19,ML,West Khasi Hills,,,,5553,75,5447,,2022-01-19T23:55:55.793056+05:30,,,,87075,1492,84139,
