,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Ahmedabad,9957,7,3782,27918,6979,17194,7945,6760,38118.0,21.0,19924.0,133523.0,38446.0,81045.0,98476.0,7208200,2022-01-20 23:55:40.935710,,,304743,3434,263271,6044020,6619073,5228122,98476,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
1,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Amreli,128,0,20,1925,1579,1557,1031,41,387.0,0.0,199.0,9292.0,8558.0,6265.0,17545.0,1513614,2022-01-20 23:55:40.935710,,,11439,103,11016,698310,1054390,981253,17545,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
2,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Anand,558,0,102,2850,795,4094,2196,414,1171.0,0.0,665.0,15076.0,3554.0,15680.0,30101.0,2090276,2022-01-20 23:55:40.935710,,,11991,51,10761,677387,1629770,1510660,30101,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
3,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Aravalli,18,0,5,2476,4612,292,1357,24,43.0,0.0,76.0,13559.0,13299.0,2522.0,18480.0,1051746,2022-01-20 23:55:40.935710,,,5336,79,5212,431208,790884,733475,18480,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
4,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Banaskantha,174,0,44,3803,3272,3057,3467,27,840.0,0.0,228.0,29745.0,21875.0,20206.0,21868.0,3116045,2022-01-20 23:55:40.935710,,,14725,162,13759,1052374,2375782,2233144,21868,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
5,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Bharuch,408,0,216,1858,1337,6763,1315,149,1511.0,1.0,1103.0,10169.0,8402.0,23470.0,22469.0,1550822,2022-01-20 23:55:40.935710,,,13984,119,12666,611376,1387619,1241365,22469,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
6,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Bhavnagar,587,0,238,3213,2660,3139,964,140,2818.0,3.0,910.0,22454.0,20628.0,24655.0,18444.0,2877961,2022-01-20 23:55:40.935710,,,25378,307,22267,1379727,1945111,1898159,18444,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
7,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Botad,15,0,0,782,1030,223,239,1,35.0,0.0,4.0,4864.0,6657.0,1959.0,4070.0,656005,2022-01-20 23:55:40.935710,,,2259,42,2182,294091,431072,382458,4070,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
8,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Chhota Udaipur,5,0,2,710,1218,491,510,3,16.0,0.0,8.0,5414.0,22662.0,2869.0,9258.0,1071831,2022-01-20 23:55:40.935710,,,3429,38,3371,333121,712939,646214,9258,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
9,2022-01-20,GJ,24485,13,10310,138937,66181,89639,59024,13778,104669.0,57.0,50336.0,792241.0,537505.0,532099.0,781109.0,Dahod,82,0,39,3901,3474,430,4135,36,339.0,0.0,149.0,21707.0,67057.0,2561.0,32811.0,2126558,2022-01-20 23:55:40.935710,,,10483,38,10106,857974,1690032,1521645,32811,0,2022-01-20 23:55:40.934862,67936000,2022-01-20 23:55:40.936085,,,1001401,10196,886317,36348351,50587686,44470345,781109,0,0.0,0.0
