,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Airport Quarantine,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
1,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Baksa,,,,,31,158,19,,,,,,4284.0,15835.0,1076.0,953773,,,,,,,,644797,459462,1076,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
2,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Barpeta,,,,,2190,12666,640,,,,,,10407.0,37920.0,5993.0,1693190,,,,,,,,1233939,1048091,5993,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
3,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Biswanath,,,,,57,166,16,,,,,,8801.0,10633.0,1660.0,612491,,,,,,,,517214,370417,1660,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
4,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Bongaigaon,,,,,18,192,58,,,,,,2499.0,9263.0,2790.0,732639,,,,,,,,553581,442638,2790,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
5,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Cachar,,,,,260,4441,10,,,,,,10110.0,47282.0,4004.0,1736319,,,,,,,,1227964,904419,4004,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
6,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Charaideo,,,,,8,107,3,,,,,,2017.0,10508.0,915.0,0,,,,,,,,351619,241713,915,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
7,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Chirang,,,,,28,178,6,,,,,,3602.0,8776.0,2084.0,481818,,,,,,,,329554,229670,2084,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
8,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Darrang,,,,,20,73,20,,,,,,4485.0,21134.0,2385.0,908090,,,,,,,,677941,493274,2385,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
9,2022-01-23,AS,2277,13,6118,0,5346,31773,1792,5670,46076.0,95.0,21423.0,,199159.0,647089.0,108465.0,Dhemaji,,,,,43,91,12,,,,,,4366.0,9090.0,1040.0,688077,,,,,,,,494871,355896,1040,0,2022-01-24 12:39:09.047402,34293000,,,,692811,6301,641347,,23062744,17554735,108465,0,0.0,0.0
