,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Bokaro,,,,,1475,2159,181,,,,,,100893.0,23037.0,9954.0,2061918,,,,,,,,1513203,814746,9954,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
1,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Chatra,,,,,2280,1248,62,,,,,,20254.0,8517.0,2176.0,1042304,,,,,,,,626173,346749,2176,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
2,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Deoghar,,,,,3511,2225,353,,,,,,29994.0,18848.0,4205.0,1491879,,,,,,,,917330,550497,4205,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
3,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Dhanbad,,,,,2054,2330,170,,,,,,33706.0,33725.0,8884.0,2682662,,,,,,,,1536353,961794,8884,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
4,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Dumka,,,,,6701,3361,144,,,,,,48122.0,20804.0,2142.0,1321096,,,,,,,,889703,554293,2142,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
5,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,East Singhbhum,,,,,4696,3110,202,,,,,,49335.0,23993.0,12207.0,2291032,,,,,,,,1686041,1198406,12207,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
6,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Garhwa,,,,,2131,1514,41,,,,,,16312.0,10602.0,1520.0,1322387,,,,,,,,798623,418370,1520,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
7,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Giridih,,,,,2130,1492,76,,,,,,35056.0,18316.0,4285.0,2445203,,,,,,,,1381900,806651,4285,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
8,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Godda,,,,,2412,2373,125,,,,,,16574.0,13562.0,2710.0,1311382,,,,,,,,766445,476964,2710,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
9,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Gumla,,,,,3549,2117,26,,,,,,28477.0,21699.0,5122.0,1025656,,,,,,,,691783,392110,5122,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
10,2022-01-23,JH,1269,8,3423,0,78289,46374,3545,23769,15118.0,58.0,27341.0,,760650.0,399424.0,104866.0,Hazaribagh,,,,,2364,1469,186,,,,,,28327.0,14446.0,5258.0,1734005,,,,,,,,1092559,701307,5258,0,2022-01-24 12:39:09.047402,37403000,,,,420427,5261,395700,,21070767,12631647,104866,0,0.0,0.0
