,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,East Garo Hills,0,0,1,,12,5,0,1.0,14.0,0.0,3.0,,2766.0,932.0,576.0,317618,,,,1933,16,1905,,66151,38026,576,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
1,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,East Jaintia Hills,1,0,6,,0,5,0,3.0,40.0,0.0,13.0,,944.0,648.0,230.0,122436,,,,2497,32,2431,,72451,53297,230,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
2,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,East Khasi Hills,201,1,140,,7,0,0,317.0,1733.0,6.0,1001.0,,8209.0,2086.0,7038.0,824059,,,,44620,1019,42164,,363149,288624,7038,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
3,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,Eastern West Khasi Hills,3,0,0,,0,0,0,1.0,,,,,,,,0,,,,27,2,4,,0,0,0,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,,
4,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,North Garo Hills,0,0,0,,109,17,3,11.0,11.0,0.0,1.0,,4759.0,1470.0,467.0,118325,,,,1699,8,1679,,76020,48534,467,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
5,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,Ri-Bhoi,24,0,6,,0,0,0,0.0,,,,,,,,0,,,,9938,90,9705,,0,0,0,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,,
6,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,South Garo Hills,1,0,0,,6,15,6,0.0,18.0,0.0,3.0,,908.0,666.0,517.0,142574,,,,1239,12,1209,,51656,31246,517,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
7,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,South West Garo Hills,8,0,3,,0,0,0,3.0,23.0,0.0,3.0,,6025.0,1325.0,672.0,172495,,,,1896,18,1858,,95095,61077,672,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
8,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,South West Khasi Hills,2,0,2,,0,0,0,43.0,13.0,0.0,6.0,,1143.0,235.0,135.0,110152,,,,2572,17,2539,,37614,25536,135,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
9,2022-01-23,ML,318,1,198,0,181,47,9,387.0,2101.0,7.0,1101.0,,42497.0,13134.0,15429.0,West Garo Hills,70,0,28,,14,2,0,7.0,374.0,0.0,136.0,,4987.0,2435.0,4240.0,642923,,,,9576,73,9184,,240241,169470,4240,0,2022-01-24T12:55:04.814596+05:30,3224000,,,,88459,1497,84841,,1322727,925925,15429,0,0.0,0.0
