,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Ariyalur,182,0,86,,408,2588,13,48,902.0,0.0,300.0,,6216.0,21829.0,1115.0,752481,,,,18229,265,17048,,637443,454320,1115,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
1,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Chengalpattu,1872,6,2168,,1000,1958,99,5766,15338.0,22.0,13361.0,,29132.0,46172.0,12323.0,2556244,,,,212379,2582,191941,,1685328,1167580,12323,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
2,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Chennai,4128,14,7853,,11741,15269,1598,24230,49283.0,83.0,52219.0,,89139.0,127401.0,63543.0,7100000,,,,693010,8814,629624,,5812533,4360960,63543,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
3,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Coimbatore,4179,2,1957,,807,1668,132,2419,22639.0,15.0,8455.0,,24946.0,53919.0,16478.0,3472578,,,,287398,2545,261932,,3056830,2181908,16478,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
4,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Cuddalore,405,3,342,,5587,18004,71,205,3098.0,4.0,1640.0,,28908.0,92838.0,4689.0,2600880,,,,69627,881,65615,,2265564,1683176,4689,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
5,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Dharmapuri,493,0,169,,496,1116,37,144,2118.0,0.0,762.0,,11141.0,17111.0,1976.0,1502900,,,,32106,281,29697,,943619,595804,1976,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
6,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Dindigul,221,0,88,,244,4910,10,110,966.0,2.0,486.0,,11147.0,54440.0,5601.0,2161367,,,,34950,654,33347,,1740946,1281736,5601,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
7,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Erode,1336,0,554,,397,969,128,544,6519.0,7.0,2610.0,,9609.0,27891.0,5275.0,2259608,,,,117418,721,110406,,1695829,1211223,5275,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
8,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Kallakurichi,335,0,162,,2377,5870,23,213,1393.0,0.0,777.0,,18928.0,43380.0,1989.0,1370281,,,,34010,210,32399,,1030791,849979,1989,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
9,2022-01-23,TN,30580,40,24283,157732,56376,118705,3216,49158,194067.0,229.0,135360.0,1055039.0,639986.0,1337149.0,208935.0,Kancheepuram,611,2,726,,1057,1920,35,1353,5045.0,9.0,4370.0,,12797.0,20399.0,1947.0,1166401,,,,87287,1285,80763,,825197,545904,1947,0,2022-01-23T23:55:49.128810+05:30,75695000,,,,3133990,37218,2895818,60603494,54009966,37754995,208935,0,0.0,0.0
