Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-01-24,MH,Ahmednagar,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,358301,7177,11,340763,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Akola,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,63510,1432,4,59479,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Amravati,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,100388,1600,2,95227,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Aurangabad,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,167847,4265,14,155814,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Beed,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,106585,2848,7,102124,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Bhandara,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,63308,1124,10,60053,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Buldhana,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,87392,814,6,84824,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Chandrapur,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,94808,1570,4,89308,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Dhule,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,48951,657,11,46497,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Gadchiroli,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,32915,672,33,30771,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Gondia,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,43306,573,7,41617,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Hingoli,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,19851,508,1,18487,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Jalgaon,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,144925,2718,33,138930,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Jalna,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,63749,1218,1,60506,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Kolhapur,,,5 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,214780,5860,5,204379,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Latur,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,100358,2454,6,93620,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Mumbai,,,2692 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,1035772,16546,2692,995392,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Nagpur,,,71 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,538508,9130,71,503185,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
2022-01-24,MH,Nanded,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,98611,2664,7,91682,,2022-01-25 11:31:17.070110,2022-01-25 11:31:17.070910,,3820 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7535511,142151,7089936,3820,73511861
