,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2022-02-01,RJ,Ajmer,,,,47028,424,44349,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
1,2022-02-01,RJ,Alwar,,,,81123,316,75324,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
2,2022-02-01,RJ,Banswara,,,,12918,105,11661,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
3,2022-02-01,RJ,Baran,,,,14218,62,13347,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
4,2022-02-01,RJ,Barmer,,,,20963,196,19745,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
5,2022-02-01,RJ,Bharatpur,,,,30180,264,27615,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
6,2022-02-01,RJ,Bhilwara,,,,36358,157,33861,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
7,2022-02-01,RJ,Bikaner,,,,48153,568,46625,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
8,2022-02-01,RJ,BSF Camp,,,,,,,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
9,2022-02-01,RJ,Bundi,,,,9212,51,8704,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
10,2022-02-01,RJ,Chittorgarh,,,,28067,140,27058,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
11,2022-02-01,RJ,Churu,,,,19544,111,18776,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
12,2022-02-01,RJ,Dausa,,,,15376,71,14898,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
13,2022-02-01,RJ,Dholpur,,,,13214,49,12245,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
14,2022-02-01,RJ,Dungarpur,,,,23755,133,22304,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
15,2022-02-01,RJ,Evacuees,,,,,,,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
16,2022-02-01,RJ,Ganganagar,,,,25324,153,21835,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
17,2022-02-01,RJ,Hanumangarh,,,,21292,114,20103,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
18,2022-02-01,RJ,Italians,,,,,,,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
19,2022-02-01,RJ,Jaipur,,,,257285,2051,239685,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
20,2022-02-01,RJ,Jaisalmer,,,,16065,68,15423,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
21,2022-02-01,RJ,Jalore,,,,10424,77,10223,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
22,2022-02-01,RJ,Jhalawar,,,,16722,199,15859,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
23,2022-02-01,RJ,Jhunjhunu,,,,17338,171,16358,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
24,2022-02-01,RJ,Jodhpur,,,,135166,1142,129812,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
25,2022-02-01,RJ,Karauli,,,,8352,79,8024,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
26,2022-02-01,RJ,Kota,,,,67692,463,64562,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
27,2022-02-01,RJ,Nagaur,,,,21174,191,20053,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
28,2022-02-01,RJ,Other State,,,,337,39,298,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
29,2022-02-01,RJ,Pali,,,,34328,294,32435,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
30,2022-02-01,RJ,Pratapgarh,,,,10573,65,9384,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
31,2022-02-01,RJ,Rajsamand,,,,20563,174,18617,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
32,2022-02-01,RJ,Sawai Madhopur,,,,14769,63,13363,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
33,2022-02-01,RJ,Sikar,,,,36087,349,34321,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
34,2022-02-01,RJ,Sirohi,,,,16101,82,15386,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
35,2022-02-01,RJ,Tonk,,,,12380,98,11352,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
36,2022-02-01,RJ,Udaipur,,,,70552,769,66704,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
37,2022-02-01,RJ,Unknown,,,,0,0,0,,2022-02-02 12:03:19.432747,,,,1212633,9288,1140309,17973022
